candidate	thread_count	cpu_list	correctness_status	mismatches	checksum	mean_conv_us	stddev_conv_us	mean_total_us	stddev_total_us	min_total_us	max_total_us	cv_pct	speedup_conv_vs_A0	speedup_total_vs_A0	worker_affinity_ok	cpu4_7_ime_violation
A0_stage17_single_thread_replay	1	0	pass	0	1324192976	20414.513636	10.350443	25588.395318	3.740899	25584.294860	25594.163040	0.014620	1.000000	1.000000	1	no
A1_integrated_threaded_conv_1t	1	0	pass	0	1324192976	20792.320188	8.233628	25982.870290	11.103531	25970.335330	25994.544350	0.042734	0.981830	0.984818	1	no
A2_integrated_threaded_conv_2t	2	0-1	pass	0	1324192976	11194.148808	151.828973	16348.834112	155.650231	16172.352300	16518.222410	0.952057	1.823677	1.565151	1	no
A3_integrated_threaded_conv_3t	3	0-2	pass	0	1324192976	7503.098110	72.434893	12711.599524	70.819213	12663.115210	12835.848100	0.557123	2.720811	2.012996	1	no
A4_integrated_threaded_conv_4t	4	0-3	pass	0	1324192976	6025.979842	187.863483	11211.333822	184.481542	11027.509670	11469.138040	1.645491	3.387750	2.282369	1	no
