node	A_shape	B_shape	Y_shape	A_scale	A_scale_sample	A_zp	A_zp_sample	B_scale	B_scale_sample	B_zp	B_zp_sample	Y_scale	Y_scale_sample	Y_zp	Y_zp_sample
/model.10/m/m.0/attn/MatMul	[1, 2, 400, 32]	[1, 2, 32, 400]	[1, 2, 400, 400]	/model.10/m/m.0/attn/Transpose_output_0_scale	[0.04627726227045059]	/model.10/m/m.0/attn/Transpose_output_0_zero_point	[128]	/model.10/m/m.0/attn/Split_output_1_scale	[0.059319499880075455]	/model.10/m/m.0/attn/Split_output_1_zero_point	[126]	/model.10/m/m.0/attn/MatMul_output_0_scale	[0.6259151697158813]	/model.10/m/m.0/attn/MatMul_output_0_zero_point	[122]
/model.10/m/m.0/attn/MatMul_1	[1, 2, 64, 400]	[1, 2, 400, 400]	[1, 2, 64, 400]	/model.10/m/m.0/attn/Split_output_2_scale	[0.11401121318340302]	/model.10/m/m.0/attn/Split_output_2_zero_point	[121]	/model.10/m/m.0/attn/Transpose_1_output_0_scale	[0.0033711211290210485]	/model.10/m/m.0/attn/Transpose_1_output_0_zero_point	[0]	/model.10/m/m.0/attn/MatMul_1_output_0_scale	[0.05422614514827728]	/model.10/m/m.0/attn/MatMul_1_output_0_zero_point	[126]
/model.22/m.0/m.0.1/attn/MatMul	[1, 2, 400, 32]	[1, 2, 32, 400]	[1, 2, 400, 400]	/model.22/m.0/m.0.1/attn/Transpose_output_0_scale	[0.049220163375139236]	/model.22/m.0/m.0.1/attn/Transpose_output_0_zero_point	[130]	/model.22/m.0/m.0.1/attn/Split_output_1_scale	[0.06047259271144867]	/model.22/m.0/m.0.1/attn/Split_output_1_zero_point	[131]	/model.22/m.0/m.0.1/attn/MatMul_output_0_scale	[0.8397404551506042]	/model.22/m.0/m.0.1/attn/MatMul_output_0_zero_point	[109]
/model.22/m.0/m.0.1/attn/MatMul_1	[1, 2, 64, 400]	[1, 2, 400, 400]	[1, 2, 64, 400]	/model.22/m.0/m.0.1/attn/Split_output_2_scale	[0.10391821712255478]	/model.22/m.0/m.0.1/attn/Split_output_2_zero_point	[111]	/model.22/m.0/m.0.1/attn/Transpose_1_output_0_scale	[0.0035874536260962486]	/model.22/m.0/m.0.1/attn/Transpose_1_output_0_zero_point	[0]	/model.22/m.0/m.0.1/attn/MatMul_1_output_0_scale	[0.068268783390522]	/model.22/m.0/m.0.1/attn/MatMul_1_output_0_zero_point	[118]
