tensor_name	producer_op	consumer_ops	dtype	signedness	scale_name	scale_value_or_summary	zero_point_name	zero_point_value_or_summary	per_tensor_or_per_channel	axis	can_feed_smt_vmadot_directly	correction_required	requant_required	recommended_path	caveat
model.22.cv2.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.22.cv2.conv.weight_DequantizeLinear	Conv:/model.22/cv2/conv/Conv	s8	s8	model.22.cv2.conv.weight_scale	shape=[256] min=0.000295530742732808 max=0.012305247597396374 first=[0.006385268643498421, 0.00416421378031373, 0.0014130693161860108, 0.0008943839929997921]	model.22.cv2.conv.weight_zero_point	shape=[256] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.22.m.0.0.cv1.conv.bias	DequantizeLinear:model.22.m.0.0.cv1.conv.bias_DequantizeLinear	Conv:/model.22/m.0/m.0.0/cv1/conv/Conv	INT32	INT32	model.22.m.0.0.cv1.conv.bias_quantized_scale	shape=[64] min=3.4643217077245936e-05 max=0.0003156375605612993 first=[0.0001540349330753088, 0.00012205116945551708, 0.00021854581427760422, 0.00013750619837082922]	model.22.m.0.0.cv1.conv.bias_quantized_zero_point	shape=[64] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.22.m.0.0.cv1.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.22.m.0.0.cv1.conv.weight_DequantizeLinear	Conv:/model.22/m.0/m.0.0/cv1/conv/Conv	s8	s8	model.22.m.0.0.cv1.conv.weight_scale	shape=[64] min=0.0011794024612754583 max=0.010745644569396973 first=[0.00524400407448411, 0.004155140835791826, 0.007440228946506977, 0.004681295715272427]	model.22.m.0.0.cv1.conv.weight_zero_point	shape=[64] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.22.m.0.0.cv2.conv.bias	DequantizeLinear:model.22.m.0.0.cv2.conv.bias_DequantizeLinear	Conv:/model.22/m.0/m.0.0/cv2/conv/Conv	INT32	INT32	model.22.m.0.0.cv2.conv.bias_quantized_scale	shape=[128] min=3.572766581783071e-05 max=0.0002479754912201315 first=[0.00011378801718819886, 0.00010053144069388509, 0.00014080853725317866, 0.00020121804845985025]	model.22.m.0.0.cv2.conv.bias_quantized_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.22.m.0.0.cv2.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.22.m.0.0.cv2.conv.weight_DequantizeLinear	Conv:/model.22/m.0/m.0.0/cv2/conv/Conv	s8	s8	model.22.m.0.0.cv2.conv.weight_scale	shape=[128] min=0.0012668609851971269 max=0.008792919106781483 first=[0.004034789279103279, 0.003564726561307907, 0.00499290507286787, 0.0071349553763866425]	model.22.m.0.0.cv2.conv.weight_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.22.m.0.1.attn.pe.conv.bias	DequantizeLinear:model.22.m.0.1.attn.pe.conv.bias_DequantizeLinear	Conv:/model.22/m.0/m.0.1/attn/pe/conv/Conv	INT32	INT32	model.22.m.0.1.attn.pe.conv.bias_quantized_scale	shape=[128] min=6.04829729127232e-05 max=0.008243240416049957 first=[0.00412298459559679, 0.0006965232314541936, 0.00024384600692428648, 0.004441209603101015]	model.22.m.0.1.attn.pe.conv.bias_quantized_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.22.m.0.1.attn.pe.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.22.m.0.1.attn.pe.conv.weight_DequantizeLinear	Conv:/model.22/m.0/m.0.1/attn/pe/conv/Conv	s8	s8	model.22.m.0.1.attn.pe.conv.weight_scale	shape=[128] min=0.0005820247461088002 max=0.07932430505752563 first=[0.0396752804517746, 0.006702609360218048, 0.002346518449485302, 0.04273754730820656]	model.22.m.0.1.attn.pe.conv.weight_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.22.m.0.1.attn.proj.conv.bias	DequantizeLinear:model.22.m.0.1.attn.proj.conv.bias_DequantizeLinear	Conv:/model.22/m.0/m.0.1/attn/proj/conv/Conv	INT32	INT32	model.22.m.0.1.attn.proj.conv.bias_quantized_scale	shape=[128] min=2.578645398898516e-05 max=0.0002814136678352952 first=[0.0001763153268257156, 9.582895290805027e-05, 0.00016433559358119965, 0.00020969122124370188]	model.22.m.0.1.attn.proj.conv.bias_quantized_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.22.m.0.1.attn.proj.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.22.m.0.1.attn.proj.conv.weight_DequantizeLinear	Conv:/model.22/m.0/m.0.1/attn/proj/conv/Conv	s8	s8	model.22.m.0.1.attn.proj.conv.weight_scale	shape=[128] min=0.0003237699274905026 max=0.003533377777785063 first=[0.0022137826308608055, 0.0012032105587422848, 0.0020633672829717398, 0.002632844028994441]	model.22.m.0.1.attn.proj.conv.weight_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.22.m.0.1.attn.qkv.conv.bias	DequantizeLinear:model.22.m.0.1.attn.qkv.conv.bias_DequantizeLinear	Conv:/model.22/m.0/m.0.1/attn/qkv/conv/Conv	INT32	INT32	model.22.m.0.1.attn.qkv.conv.bias_quantized_scale	shape=[256] min=2.1336765712476335e-05 max=0.0005263786297291517 first=[0.00017653187387622893, 0.00013355720147956163, 0.00021877473045606166, 0.00015339234960265458]	model.22.m.0.1.attn.qkv.conv.bias_quantized_zero_point	shape=[256] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
