tensor_name	producer_op	consumer_ops	dtype	signedness	scale_name	scale_value_or_summary	zero_point_name	zero_point_value_or_summary	per_tensor_or_per_channel	axis	can_feed_smt_vmadot_directly	correction_required	requant_required	recommended_path	caveat
images_QuantizeLinear_Output	QuantizeLinear:images_QuantizeLinear	DequantizeLinear:images_DequantizeLinear	u8	u8	images_scale	0.003921568859368563	images_zero_point	0	per_tensor		no	dtype_or_layout_check	yes	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.0.conv.bias	DequantizeLinear:model.0.conv.bias_DequantizeLinear	Conv:/model.0/conv/Conv	INT32	INT32	model.0.conv.bias_quantized_scale	shape=[16] min=0.00012583972420543432 max=0.0007287898915819824 first=[0.0003334662178531289, 0.00015922322927508503, 0.0003676500346045941, 0.0007287898915819824]	model.0.conv.bias_quantized_zero_point	shape=[16] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.0.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.0.conv.weight_DequantizeLinear	Conv:/model.0/conv/Conv	s8	s8	model.0.conv.weight_scale	shape=[16] min=0.03208912909030914 max=0.1858414113521576 first=[0.08503387868404388, 0.04060192033648491, 0.09375075250864029, 0.1858414113521576]	model.0.conv.weight_zero_point	shape=[16] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.1.conv.bias	DequantizeLinear:model.1.conv.bias_DequantizeLinear	Conv:/model.1/conv/Conv	INT32	INT32	model.1.conv.bias_quantized_scale	shape=[32] min=0.0007229709881357849 max=0.004131552297621965 first=[0.0017577136168256402, 0.0036381653044372797, 0.003349768463522196, 0.0012321011163294315]	model.1.conv.bias_quantized_zero_point	shape=[32] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.1.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.1.conv.weight_DequantizeLinear	Conv:/model.1/conv/Conv	s8	s8	model.1.conv.weight_scale	shape=[32] min=0.002323448657989502 max=0.013277779333293438 first=[0.005648853722959757, 0.01169215701520443, 0.010765321552753448, 0.003959666006267071]	model.1.conv.weight_zero_point	shape=[32] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.cv1.conv.bias	DequantizeLinear:model.10.cv1.conv.bias_DequantizeLinear	Conv:/model.10/cv1/conv/Conv	INT32	INT32	model.10.cv1.conv.bias_quantized_scale	shape=[256] min=7.79926631366834e-05 max=0.0006077488651499152 first=[0.00023070204770192504, 0.00022348406491801143, 0.0001923169766087085, 0.00024061405565589666]	model.10.cv1.conv.bias_quantized_zero_point	shape=[256] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.cv1.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.10.cv1.conv.weight_DequantizeLinear	Conv:/model.10/cv1/conv/Conv	s8	s8	model.10.cv1.conv.weight_scale	shape=[256] min=0.0014352297876030207 max=0.011183862574398518 first=[0.004245405085384846, 0.004112578928470612, 0.0035390385892242193, 0.004427806939929724]	model.10.cv1.conv.weight_zero_point	shape=[256] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.cv2.conv.bias	DequantizeLinear:model.10.cv2.conv.bias_DequantizeLinear	Conv:/model.10/cv2/conv/Conv	INT32	INT32	model.10.cv2.conv.bias_quantized_scale	shape=[256] min=3.684449620777741e-05 max=0.00040971842827275395 first=[9.96337112155743e-05, 8.490374602843076e-05, 7.08096195012331e-05, 0.0001549510780023411]	model.10.cv2.conv.bias_quantized_zero_point	shape=[256] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.cv2.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.10.cv2.conv.weight_DequantizeLinear	Conv:/model.10/cv2/conv/Conv	s8	s8	model.10.cv2.conv.weight_scale	shape=[256] min=0.0004735848924610764 max=0.005266362335532904 first=[0.0012806531740352511, 0.0010913199512287974, 0.000910159491468221, 0.0019916812889277935]	model.10.cv2.conv.weight_zero_point	shape=[256] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.m.0.attn.pe.conv.bias	DequantizeLinear:model.10.m.0.attn.pe.conv.bias_DequantizeLinear	Conv:/model.10/m/m.0/attn/pe/conv/Conv	INT32	INT32	model.10.m.0.attn.pe.conv.bias_quantized_scale	shape=[128] min=0.00011219477892154828 max=0.0022320025600492954 first=[0.0005123243317939341, 0.0005762612563557923, 0.0006121859769336879, 0.0006541004404425621]	model.10.m.0.attn.pe.conv.bias_quantized_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.m.0.attn.pe.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.10.m.0.attn.pe.conv.weight_DequantizeLinear	Conv:/model.10/m/m.0/attn/pe/conv/Conv	s8	s8	model.10.m.0.attn.pe.conv.weight_scale	shape=[128] min=0.0009840679122135043 max=0.019577044993638992 first=[0.0044936309568583965, 0.00505442637950182, 0.005369524471461773, 0.005737158935517073]	model.10.m.0.attn.pe.conv.weight_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.m.0.attn.proj.conv.bias	DequantizeLinear:model.10.m.0.attn.proj.conv.bias_DequantizeLinear	Conv:/model.10/m/m.0/attn/proj/conv/Conv	INT32	INT32	model.10.m.0.attn.proj.conv.bias_quantized_scale	shape=[128] min=4.284931128495373e-05 max=0.00031412323005497456 first=[6.634750752709806e-05, 0.00010867880337173119, 7.758398714940995e-05, 7.257215474965051e-05]	model.10.m.0.attn.proj.conv.bias_quantized_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.m.0.attn.proj.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.10.m.0.attn.proj.conv.weight_DequantizeLinear	Conv:/model.10/m/m.0/attn/proj/conv/Conv	s8	s8	model.10.m.0.attn.proj.conv.weight_scale	shape=[128] min=0.001286051352508366 max=0.009427890181541443 first=[0.00199131085537374, 0.0032618148252367973, 0.0023285553324967623, 0.0021781334653496742]	model.10.m.0.attn.proj.conv.weight_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.m.0.attn.qkv.conv.bias	DequantizeLinear:model.10.m.0.attn.qkv.conv.bias_DequantizeLinear	Conv:/model.10/m/m.0/attn/qkv/conv/Conv	INT32	INT32	model.10.m.0.attn.qkv.conv.bias_quantized_scale	shape=[256] min=2.2809841539128684e-05 max=0.0005541705177165568 first=[0.0001411887933500111, 5.2150637202430516e-05, 0.00018033536616712809, 0.0002136081748176366]	model.10.m.0.attn.qkv.conv.bias_quantized_zero_point	shape=[256] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.m.0.attn.qkv.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.10.m.0.attn.qkv.conv.weight_DequantizeLinear	Conv:/model.10/m/m.0/attn/qkv/conv/Conv	s8	s8	model.10.m.0.attn.qkv.conv.weight_scale	shape=[256] min=0.0005336537142284214 max=0.012965243309736252 first=[0.003303219797089696, 0.0012201040517538786, 0.004219084046781063, 0.0049975267611444]	model.10.m.0.attn.qkv.conv.weight_zero_point	shape=[256] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.m.0.ffn.0.conv.bias	DequantizeLinear:model.10.m.0.ffn.0.conv.bias_DequantizeLinear	Conv:/model.10/m/m.0/ffn/ffn.0/conv/Conv	INT32	INT32	model.10.m.0.ffn.0.conv.bias_quantized_scale	shape=[256] min=6.824197771493345e-05 max=0.00023721421894151717 first=[9.322798723587766e-05, 0.00015532395627815276, 8.709247049409896e-05, 9.093395055970177e-05]	model.10.m.0.ffn.0.conv.bias_quantized_zero_point	shape=[256] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.m.0.ffn.0.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.10.m.0.ffn.0.conv.weight_DequantizeLinear	Conv:/model.10/m/m.0/ffn/ffn.0/conv/Conv	s8	s8	model.10.m.0.ffn.0.conv.weight_scale	shape=[256] min=0.001157252467237413 max=0.004022696055471897 first=[0.001580966985784471, 0.002633994910866022, 0.0014769204426556826, 0.001542064594104886]	model.10.m.0.ffn.0.conv.weight_zero_point	shape=[256] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.m.0.ffn.1.conv.bias	DequantizeLinear:model.10.m.0.ffn.1.conv.bias_DequantizeLinear	Conv:/model.10/m/m.0/ffn/ffn.1/conv/Conv	INT32	INT32	model.10.m.0.ffn.1.conv.bias_quantized_scale	shape=[128] min=6.121976912254468e-05 max=0.0003998109605163336 first=[0.00011343164078425616, 0.0001615481887711212, 0.00015614205040037632, 0.00013027606473769993]	model.10.m.0.ffn.1.conv.bias_quantized_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.m.0.ffn.1.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.10.m.0.ffn.1.conv.weight_DequantizeLinear	Conv:/model.10/m/m.0/ffn/ffn.1/conv/Conv	s8	s8	model.10.m.0.ffn.1.conv.weight_scale	shape=[128] min=0.003880016505718231 max=0.025339415296912193 first=[0.007189126685261726, 0.010238680988550186, 0.009896047413349152, 0.008256700821220875]	model.10.m.0.ffn.1.conv.weight_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.13.cv1.conv.bias	DequantizeLinear:model.13.cv1.conv.bias_DequantizeLinear	Conv:/model.13/cv1/conv/Conv	INT32	INT32	model.13.cv1.conv.bias_quantized_scale	shape=[128] min=4.986517524230294e-05 max=0.0004903346998617053 first=[9.090617822948843e-05, 8.133296068990603e-05, 0.00010216741065960377, 7.730846118647605e-05]	model.13.cv1.conv.bias_quantized_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.13.cv1.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.13.cv1.conv.weight_DequantizeLinear	Conv:/model.13/cv1/conv/Conv	s8	s8	model.13.cv1.conv.weight_scale	shape=[128] min=0.001410346245393157 max=0.013868230395019054 first=[0.0025711169000715017, 0.0023003555834293365, 0.0028896203730255365, 0.0021865300368517637]	model.13.cv1.conv.weight_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.13.cv2.conv.bias	DequantizeLinear:model.13.cv2.conv.bias_DequantizeLinear	Conv:/model.13/cv2/conv/Conv	INT32	INT32	model.13.cv2.conv.bias_quantized_scale	shape=[128] min=5.85130401304923e-05 max=0.00037209209403954446 first=[0.00012360418622847646, 0.00021600091713480651, 0.00013568351278081536, 0.00017129578918684274]	model.13.cv2.conv.bias_quantized_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.13.cv2.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.13.cv2.conv.weight_DequantizeLinear	Conv:/model.13/cv2/conv/Conv	s8	s8	model.13.cv2.conv.weight_scale	shape=[128] min=0.0012571559054777026 max=0.00799441896378994 first=[0.0026556425727903843, 0.004640791565179825, 0.0029151677154004574, 0.0036802992690354586]	model.13.cv2.conv.weight_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.13.m.0.cv1.conv.bias	DequantizeLinear:model.13.m.0.cv1.conv.bias_DequantizeLinear	Conv:/model.13/m.0/cv1/conv/Conv	INT32	INT32	model.13.m.0.cv1.conv.bias_quantized_scale	shape=[32] min=3.9309041312662885e-05 max=0.00013448955724015832 first=[9.108197264140472e-05, 7.184501009760424e-05, 8.344068919541314e-05, 0.00012242214870639145]	model.13.m.0.cv1.conv.bias_quantized_zero_point	shape=[32] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.13.m.0.cv1.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.13.m.0.cv1.conv.weight_DequantizeLinear	Conv:/model.13/m.0/cv1/conv/Conv	s8	s8	model.13.m.0.cv1.conv.weight_scale	shape=[32] min=0.00144957413431257 max=0.004959484562277794 first=[0.0033587710931897163, 0.0026493819896131754, 0.003076988272368908, 0.0045144823379814625]	model.13.m.0.cv1.conv.weight_zero_point	shape=[32] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.13.m.0.cv2.conv.bias	DequantizeLinear:model.13.m.0.cv2.conv.bias_DequantizeLinear	Conv:/model.13/m.0/cv2/conv/Conv	INT32	INT32	model.13.m.0.cv2.conv.bias_quantized_scale	shape=[32] min=0.00014112441567704082 max=0.0003081390750594437 first=[0.00017681355529930443, 0.00018298343638889492, 0.00021195058070588857, 0.00019613966287579387]	model.13.m.0.cv2.conv.bias_quantized_zero_point	shape=[32] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.13.m.0.cv2.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.13.m.0.cv2.conv.weight_DequantizeLinear	Conv:/model.13/m.0/cv2/conv/Conv	s8	s8	model.13.m.0.cv2.conv.weight_scale	shape=[32] min=0.005204153712838888 max=0.011363045312464237 first=[0.006520239170640707, 0.006747761741280556, 0.00781596451997757, 0.007232915610074997]	model.13.m.0.cv2.conv.weight_zero_point	shape=[32] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.13.m.0.cv3.conv.bias	DequantizeLinear:model.13.m.0.cv3.conv.bias_DequantizeLinear	Conv:/model.13/m.0/cv3/conv/Conv	INT32	INT32	model.13.m.0.cv3.conv.bias_quantized_scale	shape=[64] min=7.76062224758789e-05 max=0.00027011343627236784 first=[0.00022057161550037563, 0.00011559111590031534, 0.0001382328919135034, 0.0001799283199943602]	model.13.m.0.cv3.conv.bias_quantized_zero_point	shape=[64] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.13.m.0.cv3.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.13.m.0.cv3.conv.weight_DequantizeLinear	Conv:/model.13/m.0/cv3/conv/Conv	s8	s8	model.13.m.0.cv3.conv.weight_scale	shape=[64] min=0.00118299201130867 max=0.004117479547858238 first=[0.0033622877672314644, 0.001762015512213111, 0.002107155742123723, 0.0027427407912909985]	model.13.m.0.cv3.conv.weight_zero_point	shape=[64] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.13.m.0.m.0.cv1.conv.bias	DequantizeLinear:model.13.m.0.m.0.cv1.conv.bias_DequantizeLinear	Conv:/model.13/m.0/m/m.0/cv1/conv/Conv	INT32	INT32	model.13.m.0.m.0.cv1.conv.bias_quantized_scale	shape=[32] min=6.782660057069734e-05 max=0.00016576197231188416 first=[0.00016576197231188416, 0.00011447873112047091, 8.834091568132862e-05, 8.686732326168567e-05]	model.13.m.0.m.0.cv1.conv.bias_quantized_zero_point	shape=[32] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.13.m.0.m.0.cv1.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.13.m.0.m.0.cv1.conv.weight_DequantizeLinear	Conv:/model.13/m.0/m/m.0/cv1/conv/Conv	s8	s8	model.13.m.0.m.0.cv1.conv.weight_scale	shape=[32] min=0.004222296644002199 max=0.010318904183804989 first=[0.010318904183804989, 0.007126454263925552, 0.0054993401281535625, 0.0054076071828603745]	model.13.m.0.m.0.cv1.conv.weight_zero_point	shape=[32] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.13.m.0.m.0.cv2.conv.bias	DequantizeLinear:model.13.m.0.m.0.cv2.conv.bias_DequantizeLinear	Conv:/model.13/m.0/m/m.0/cv2/conv/Conv	INT32	INT32	model.13.m.0.m.0.cv2.conv.bias_quantized_scale	shape=[32] min=7.408991223201156e-05 max=0.00023432511079590768 first=[0.00010740980360424146, 0.00019588427676353604, 8.43393208924681e-05, 0.0001449393603252247]	model.13.m.0.m.0.cv2.conv.bias_quantized_zero_point	shape=[32] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.13.m.0.m.0.cv2.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.13.m.0.m.0.cv2.conv.weight_DequantizeLinear	Conv:/model.13/m.0/m/m.0/cv2/conv/Conv	s8	s8	model.13.m.0.m.0.cv2.conv.weight_scale	shape=[32] min=0.0022197661455720663 max=0.0070204827934503555 first=[0.0032180447597056627, 0.0058687785640358925, 0.0025268429890275, 0.004342446569353342]	model.13.m.0.m.0.cv2.conv.weight_zero_point	shape=[32] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.13.m.0.m.1.cv1.conv.bias	DequantizeLinear:model.13.m.0.m.1.cv1.conv.bias_DequantizeLinear	Conv:/model.13/m.0/m/m.1/cv1/conv/Conv	INT32	INT32	model.13.m.0.m.1.cv1.conv.bias_quantized_scale	shape=[32] min=4.716173134511337e-05 max=0.00012633355800062418 first=[5.886624057893641e-05, 5.757000690209679e-05, 4.716173134511337e-05, 5.940182745689526e-05]	model.13.m.0.m.1.cv1.conv.bias_quantized_zero_point	shape=[32] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.13.m.0.m.1.cv1.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.13.m.0.m.1.cv1.conv.weight_DequantizeLinear	Conv:/model.13/m.0/m/m.1/cv1/conv/Conv	s8	s8	model.13.m.0.m.1.cv1.conv.weight_scale	shape=[32] min=0.0010936514008790255 max=0.0029295969288796186 first=[0.001365071744658053, 0.001335012842901051, 0.0010936514008790255, 0.0013774916296824813]	model.13.m.0.m.1.cv1.conv.weight_zero_point	shape=[32] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.13.m.0.m.1.cv2.conv.bias	DequantizeLinear:model.13.m.0.m.1.cv2.conv.bias_DequantizeLinear	Conv:/model.13/m.0/m/m.1/cv2/conv/Conv	INT32	INT32	model.13.m.0.m.1.cv2.conv.bias_quantized_scale	shape=[32] min=8.829410217003897e-05 max=0.00034368253545835614 first=[0.0001762348838383332, 0.0001628234749659896, 0.00018158141756430268, 0.00013366813072934747]	model.13.m.0.m.1.cv2.conv.bias_quantized_zero_point	shape=[32] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.13.m.0.m.1.cv2.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.13.m.0.m.1.cv2.conv.weight_DequantizeLinear	Conv:/model.13/m.0/m/m.1/cv2/conv/Conv	s8	s8	model.13.m.0.m.1.cv2.conv.weight_scale	shape=[32] min=0.0030199054162949324 max=0.011754904873669147 first=[0.006027726456522942, 0.005569018889218569, 0.006210592575371265, 0.004571824334561825]	model.13.m.0.m.1.cv2.conv.weight_zero_point	shape=[32] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.16.cv1.conv.bias	DequantizeLinear:model.16.cv1.conv.bias_DequantizeLinear	Conv:/model.16/cv1/conv/Conv	INT32	INT32	model.16.cv1.conv.bias_quantized_scale	shape=[64] min=4.251068821758963e-05 max=0.0001676287065492943 first=[9.025532199302688e-05, 0.00010273830412188545, 0.0001424253568984568, 0.00013869348913431168]	model.16.cv1.conv.bias_quantized_zero_point	shape=[64] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.16.cv1.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.16.cv1.conv.weight_DequantizeLinear	Conv:/model.16/cv1/conv/Conv	s8	s8	model.16.cv1.conv.weight_scale	shape=[64] min=0.0014030646998435259 max=0.005532583221793175 first=[0.00297887553460896, 0.003390876343473792, 0.004700746852904558, 0.004577576648443937]	model.16.cv1.conv.weight_zero_point	shape=[64] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.16.cv2.conv.bias	DequantizeLinear:model.16.cv2.conv.bias_DequantizeLinear	Conv:/model.16/cv2/conv/Conv	INT32	INT32	model.16.cv2.conv.bias_quantized_scale	shape=[64] min=7.084548997227103e-05 max=0.0014414049219340086 first=[0.00012145392247475684, 0.000648651213850826, 0.0003770317998714745, 0.00028241885593160987]	model.16.cv2.conv.bias_quantized_zero_point	shape=[64] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.16.cv2.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.16.cv2.conv.weight_DequantizeLinear	Conv:/model.16/cv2/conv/Conv	s8	s8	model.16.cv2.conv.weight_scale	shape=[64] min=0.001342478208243847 max=0.027313731610774994 first=[0.00230147666297853, 0.012291539460420609, 0.007144519127905369, 0.005351662635803223]	model.16.cv2.conv.weight_zero_point	shape=[64] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.16.m.0.cv1.conv.bias	DequantizeLinear:model.16.m.0.cv1.conv.bias_DequantizeLinear	Conv:/model.16/m.0/cv1/conv/Conv	INT32	INT32	model.16.m.0.cv1.conv.bias_quantized_scale	shape=[16] min=1.7504724382888526e-05 max=9.034212416736409e-05 first=[7.163266855059192e-05, 4.357181751402095e-05, 4.327621354605071e-05, 3.740950705832802e-05]	model.16.m.0.cv1.conv.bias_quantized_zero_point	shape=[16] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
