surface	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
stage54_condition_variable	0	0	182273	4030.96	21993.5	87292.8	15568.6	22749.1	13673.8	5816.3	3283.8	7682.6	646607	1220	3	1	0	0xd43f5e018b415631
stage54_condition_variable	0	1	180327	2424.5	21815.7	87448.6	15576.8	22422.6	13528.6	5939.63	3300.34	7689.68	644448	1221	1	1	0	0xd43f5e018b415631
stage54_condition_variable	0	2	179477	2409.46	21995.3	86983.8	15714.2	22466.5	12999.6	5861.09	3256.84	7605.43	642718	1224	1	1	0	0xd43f5e018b415631
stage54_condition_variable	0	3	179506	2404.75	21835	87085.7	15638.9	22541.3	13314.5	5828.72	3362.42	7313.97	642415	1221	1	1	0	0xd43f5e018b415631
stage54_condition_variable	0	4	179813	2417.05	21850.5	87044.2	15666.9	22557.5	13532.4	5915.84	3354.38	7292.26	643647	1222	0	1	0	0xd43f5e018b415631
stage54_condition_variable	0	5	182941	2433.25	22068.8	90186.6	15621.3	22694.5	13106.1	5885.84	3184.5	7582.97	646656	1211	1	1	0	0xd43f5e018b415631
stage54_condition_variable	0	6	181391	2446.5	22013.5	88821.3	15641.8	22315.8	13394.5	5796.05	3219.26	7564.34	644614	1226	2	1	0	0xd43f5e018b415631
stage54_condition_variable	0	7	179147	2332.34	21792.3	87365.8	15593	22448.2	13122.8	5705.01	3298.55	7306.18	641669	1222	0	1	0	0xd43f5e018b415631
stage54_condition_variable	0	8	179870	2465.67	21990	87434.6	15677.7	22522.5	12937.5	6134.89	3297.96	7233.18	643866	1222	3	1	0	0xd43f5e018b415631
stage54_condition_variable	0	9	180199	2431.67	21929.1	87471.8	15610.6	22427.5	13467.2	5769.8	3328.3	7571.35	644241	1214	0	1	0	0xd43f5e018b415631
stage54_condition_variable	0	10	180556	2420.71	21993.4	87422.6	15684.2	22236.4	13698.9	6052.22	3223.79	7643.76	646543	1237	3	1	0	0xd43f5e018b415631
stage54_condition_variable	0	11	185893	2347	21865.1	92315.4	15585.2	22415.3	13735.1	6550.39	3290.38	7610.1	646943	1232	91	1	0	0xd43f5e018b415631
stage54_condition_variable	0	12	181798	2376.88	22037.3	87279.1	15630.4	22748.1	14728.6	5884.88	3312.38	7612.76	646562	1221	10	1	0	0xd43f5e018b415631
stage54_condition_variable	0	13	179701	2338.3	21748.6	87581.3	15720.7	22169.6	13217.3	5845.84	3303.42	7594.8	642552	1220	8	1	0	0xd43f5e018b415631
