operation_index	name	kernel	stride	m	n	k	input_c	output_c	input_h	input_w	output_h	output_w	macs	current_route	current_mean_us	current_p95_us	packed_weight_bytes	a_panel_bytes_per_worker	output_bytes	n_tail	m_tail	worker_partition	profile_category
1	/model.0/conv/Conv	3x3	2x2	102400	16	27	3	16	640	640	320	320	44236800	rgb_stem_rvv	9557.01284	9601.6799	1152	384	1638400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
3	/model.1/conv/Conv	3x3	2x2	25600	32	144	16	32	320	320	160	160	117964800	packed_m12_n4_n8_n16	8262.30998	8350.69665	4608	1728	819200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
5	/model.2/cv1/conv/Conv	1x1	1x1	25600	32	32	32	32	160	160	160	160	26214400	packed_m12_n4_n8_n16	6062.94118	6100.148249999999	1024	384	819200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
7	/model.2/m.0/cv1/conv/Conv	3x3	1x1	25600	8	144	16	8	160	160	160	160	29491200	packed_m12_n4_n8_n16	3058.63598	3102.5508	2304	1728	204800	8	4	spatial_m_tiles	dense_conv_outside_resident_region
9	/model.2/m.0/cv2/conv/Conv	3x3	1x1	25600	16	72	8	16	160	160	160	160	29491200	packed_m12_n4_n8_n16	3633.0988799999996	3681.4847499999996	1152	864	409600	0	4	spatial_m_tiles	dense_conv_outside_resident_region
12	/model.2/cv2/conv/Conv	1x1	1x1	25600	64	48	48	64	160	160	160	160	78643200	packed_m12_n4_n8_n16	12997.96708	13137.224750000001	3072	576	1638400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
14	/model.3/conv/Conv	3x3	2x2	6400	64	576	64	64	160	160	80	80	235929600	packed_m12_n4_n8_n16	7069.8804	7094.1714	36864	6912	409600	0	4	spatial_m_tiles	dense_conv_outside_resident_region
16	/model.4/cv1/conv/Conv	1x1	1x1	6400	64	64	64	64	80	80	80	80	26214400	packed_m12_n4_n8_n16	3382.15842	3439.2873	4096	768	409600	0	4	spatial_m_tiles	dense_conv_outside_resident_region
18	/model.4/m.0/cv1/conv/Conv	3x3	1x1	6400	16	288	32	16	80	80	80	80	29491200	packed_m12_n4_n8_n16	1703.92726	1751.17425	4608	3456	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
20	/model.4/m.0/cv2/conv/Conv	3x3	1x1	6400	32	144	16	32	80	80	80	80	29491200	packed_m12_n4_n8_n16	1953.95604	1993.7450999999999	4608	1728	204800	0	4	spatial_m_tiles	dense_conv_outside_resident_region
23	/model.4/cv2/conv/Conv	1x1	1x1	6400	128	96	96	128	80	80	80	80	78643200	packed_m12_n4_n8_n16	6816.45242	6883.0662	12288	1152	819200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
25	/model.5/conv/Conv	3x3	2x2	1600	128	1152	128	128	80	80	40	40	235929600	packed_m12_n4_n8_n16	3471.5289000000002	3532.56115	147456	13824	204800	0	4	spatial_m_tiles	resident_model4_final_to_model9
27	/model.6/cv1/conv/Conv	1x1	1x1	1600	128	128	128	128	40	40	40	40	26214400	packed_m12_n4_n8_n16	1233.18518	1288.06305	16384	1536	204800	0	4	spatial_m_tiles	resident_model4_final_to_model9
29	/model.6/m.0/cv1/conv/Conv	1x1	1x1	1600	32	64	64	32	40	40	40	40	3276800	packed_m12_n4_n8_n16	251.80295999999998	259.4684	2048	768	51200	0	4	spatial_m_tiles	resident_model4_final_to_model9
30	/model.6/m.0/cv2/conv/Conv	1x1	1x1	1600	32	64	64	32	40	40	40	40	3276800	packed_m12_n4_n8_n16	270.54238000000004	304.78335	2048	768	51200	0	4	spatial_m_tiles	resident_model4_final_to_model9
32	/model.6/m.0/m/m.0/cv1/conv/Conv	3x3	1x1	1600	32	288	32	32	40	40	40	40	14745600	packed_m12_n4_n8_n16	549.40826	588.1151	9216	3456	51200	0	4	spatial_m_tiles	resident_model4_final_to_model9
34	/model.6/m.0/m/m.0/cv2/conv/Conv	3x3	1x1	1600	32	288	32	32	40	40	40	40	14745600	packed_m12_n4_n8_n16	555.12926	591.75305	9216	3456	51200	0	4	spatial_m_tiles	resident_model4_final_to_model9
36	/model.6/m.0/m/m.1/cv1/conv/Conv	3x3	1x1	1600	32	288	32	32	40	40	40	40	14745600	packed_m12_n4_n8_n16	551.2067	583.7693	9216	3456	51200	0	4	spatial_m_tiles	resident_model4_final_to_model9
38	/model.6/m.0/m/m.1/cv2/conv/Conv	3x3	1x1	1600	32	288	32	32	40	40	40	40	14745600	packed_m12_n4_n8_n16	548.2631	580.8734	9216	3456	51200	0	4	spatial_m_tiles	resident_model4_final_to_model9
41	/model.6/m.0/cv3/conv/Conv	1x1	1x1	1600	64	64	64	64	40	40	40	40	6553600	packed_m12_n4_n8_n16	504.96422	520.3679	4096	768	102400	0	4	spatial_m_tiles	resident_model4_final_to_model9
43	/model.6/cv2/conv/Conv	1x1	1x1	1600	128	192	192	128	40	40	40	40	39321600	packed_m12_n4_n8_n16	1396.14594	1442.5736	24576	2304	204800	0	4	spatial_m_tiles	resident_model4_final_to_model9
45	/model.7/conv/Conv	3x3	2x2	400	256	1152	128	256	40	40	20	20	117964800	packed_m12_n4_n8_n16	1770.07418	1829.84675	294912	13824	102400	0	4	spatial_m_tiles	resident_model4_final_to_model9
47	/model.8/cv1/conv/Conv	1x1	1x1	400	256	256	256	256	20	20	20	20	26214400	packed_m12_n4_n8_n16	744.0011599999999	768.36185	65536	3072	102400	0	4	spatial_m_tiles	resident_model4_final_to_model9
49	/model.8/m.0/cv1/conv/Conv	1x1	1x1	400	64	128	128	64	20	20	20	20	3276800	packed_m12_n4_n8_n16	153.06150000000002	154.9899	8192	1536	25600	0	4	spatial_m_tiles	resident_model4_final_to_model9
50	/model.8/m.0/cv2/conv/Conv	1x1	1x1	400	64	128	128	64	20	20	20	20	3276800	packed_m12_n4_n8_n16	156.7982	159.61929999999998	8192	1536	25600	0	4	spatial_m_tiles	resident_model4_final_to_model9
52	/model.8/m.0/m/m.0/cv1/conv/Conv	3x3	1x1	400	64	576	64	64	20	20	20	20	14745600	packed_m12_n4_n8_n16	454.08601999999996	483.75915	36864	6912	25600	0	4	spatial_m_tiles	resident_model4_final_to_model9
54	/model.8/m.0/m/m.0/cv2/conv/Conv	3x3	1x1	400	64	576	64	64	20	20	20	20	14745600	packed_m12_n4_n8_n16	445.38665999999995	475.8881	36864	6912	25600	0	4	spatial_m_tiles	resident_model4_final_to_model9
