fold	role	shape_class	name	m	n	k	kernel	stride	measured_us
2	training	1x1|1x1|6400|64|96|96|64|80|80|0|4	/model.16/cv2/conv/Conv	6400	64	96	1x1	1x1	1936.558771
2	training	3x3|2x2|1600|64|576|64|64|40|40|0|4	/model.17/conv/Conv	1600	64	576	3x3	2x2	1156.471857
2	training	3x3|1x1|6400|16|144|16|16|80|80|0|4	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	6400	16	144	3x3	1x1	734.622786
2	training	1x1|1x1|6400|80|64|64|80|80|80|0|4	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	6400	80	64	1x1	1x1	2187.786071
2	training	1x1|1x1|1600|128|192|192|128|40|40|0|4	/model.19/cv1/conv/Conv	1600	128	192	1x1	1x1	1237.752329
2	training	1x1|1x1|6400|4|16|16|4|80|80|4|4	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	6400	4	16	1x1	1x1	234.775343
2	training	1x1|1x1|6400|80|80|80|80|80|80|0|4	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	6400	80	80	1x1	1x1	2158.359529
2	training	3x3|1x1|1600|32|288|32|32|40|40|0|4	/model.19/m.0/m/m.0/cv1/conv/Conv	1600	32	288	3x3	1x1	466.082857
2	training	1x1|1x1|6400|80|80|80|80|80|80|0|4	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	6400	80	80	1x1	1x1	2144.729757
2	training	3x3|1x1|1600|32|288|32|32|40|40|0|4	/model.19/m.0/m/m.0/cv2/conv/Conv	1600	32	288	3x3	1x1	454.510614
2	training	3x3|1x1|1600|32|288|32|32|40|40|0|4	/model.19/m.0/m/m.1/cv1/conv/Conv	1600	32	288	3x3	1x1	419.384743
2	training	3x3|1x1|1600|32|288|32|32|40|40|0|4	/model.19/m.0/m/m.1/cv2/conv/Conv	1600	32	288	3x3	1x1	405.932271
2	training	1x1|1x1|1600|64|64|64|64|40|40|0|4	/model.19/m.0/cv3/conv/Conv	1600	64	64	1x1	1x1	433.414586
2	training	1x1|1x1|1600|128|192|192|128|40|40|0|4	/model.19/cv2/conv/Conv	1600	128	192	1x1	1x1	1235.084986
2	training	3x3|1x1|1600|16|1152|128|16|40|40|0|4	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	1600	16	1152	3x3	1x1	1203.563957
2	training	1x1|1x1|1600|80|128|128|80|40|40|0|4	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	1600	80	128	1x1	1x1	600.895357
2	training	1x1|1x1|400|256|384|384|256|20|20|0|4	/model.22/cv1/conv/Conv	400	256	384	1x1	1x1	786.678
2	training	1x1|1x1|1600|4|16|16|4|40|40|4|4	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv	1600	4	16	1x1	1x1	66.989243
2	training	3x3|1x1|400|64|1152|128|64|20|20|0|4	/model.22/m.0/m.0.0/cv1/conv/Conv	400	64	1152	3x3	1x1	590.955943
2	training	1x1|1x1|1600|80|80|80|80|40|40|0|4	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv	1600	80	80	1x1	1x1	436.515357
2	training	3x3|1x1|400|128|576|64|128|20|20|0|4	/model.22/m.0/m.0.0/cv2/conv/Conv	400	128	576	3x3	1x1	555.374143
2	training	1x1|1x1|1600|80|80|80|80|40|40|0|4	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv	1600	80	80	1x1	1x1	440.084986
2	training	1x1|1x1|400|256|128|128|256|20|20|0|4	/model.22/m.0/m.0.1/attn/qkv/conv/Conv	400	256	128	1x1	1x1	467.879886
