surface	predicted_mean_us	measured_mean_us	error_pct	gate_pct	status
current_graph_profile_decomposition	167503.516	168074.0	-0.33942430120065964	3.0	pass
candidate_pre_measurement_composition	168074.0	167411.836	0.395529979134802	15.0	pass
held_out_dense_shape_classes	not-additive-tail-prediction	72 rows	18.23424121473736	20.0	pass
