arm	run	operation_index	resident_operation_index	kind	scope	wall_us	name
packed	0	0	-1	input_quant	full_executor	11942.163	images_QuantizeLinear
packed	0	1	-1	conv_dense	full_executor	9828.704	/model.0/conv/Conv
packed	0	2	-1	lut1	full_executor	880.955	/model.0/act/Mul_output_0_QuantizeLinear
packed	0	3	-1	conv_dense	full_executor	8210.279	/model.1/conv/Conv
packed	0	4	-1	lut1	full_executor	352.424	/model.1/act/Mul_output_0_QuantizeLinear
packed	0	5	-1	conv_dense	full_executor	6061.198	/model.2/cv1/conv/Conv
packed	0	6	-1	split	full_executor	191.314	/model.2/Split
packed	0	7	-1	conv_dense	full_executor	3092.447	/model.2/m.0/cv1/conv/Conv
packed	0	8	-1	lut1	full_executor	82.95	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear
packed	0	9	-1	conv_dense	full_executor	3629.603	/model.2/m.0/cv2/conv/Conv
packed	0	10	-1	lut2	full_executor	1606.217	/model.2/m.0/Add_output_0@/model.2/Concat_output_0_QuantizeLinear_Output
packed	0	11	-1	concat	full_executor	736.845	/model.2/Concat
packed	0	12	-1	conv_dense	full_executor	12880.613	/model.2/cv2/conv/Conv
packed	0	13	-1	lut1	full_executor	776.591	/model.2/cv2/act/Mul_output_0_QuantizeLinear
packed	0	14	-1	conv_dense	full_executor	7029.645	/model.3/conv/Conv
packed	0	15	-1	lut1	full_executor	173.066	/model.3/act/Mul_output_0_QuantizeLinear
packed	0	16	-1	conv_dense	full_executor	3392.46	/model.4/cv1/conv/Conv
packed	0	17	-1	split	full_executor	96.49	/model.4/Split
packed	0	18	-1	conv_dense	full_executor	1650.713	/model.4/m.0/cv1/conv/Conv
packed	0	19	-1	lut1	full_executor	43.996	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear
packed	0	20	-1	conv_dense	full_executor	1888.273	/model.4/m.0/cv2/conv/Conv
packed	0	21	-1	lut2	full_executor	899.245	/model.4/m.0/Add_output_0@/model.4/Concat_output_0_QuantizeLinear_Output
packed	0	22	-1	concat	full_executor	342.55	/model.4/Concat
packed	0	23	-1	conv_dense	full_executor	6988.315	/model.4/cv2/conv/Conv
packed	0	-1	0	lut	resident_core	428.624	/model.4/cv2/final_silu
packed	0	25	1	conv	resident_core	3538.237	/model.5/conv/Conv
packed	0	27	2	conv	resident_core	1247.42	/model.6/cv1/conv/Conv
packed	0	29	3	conv	resident_core	247.768	/model.6/m.0/cv1/conv/Conv
packed	0	30	4	conv	resident_core	255.809	/model.6/m.0/cv2/conv/Conv
packed	0	32	5	conv	resident_core	536.531	/model.6/m.0/m/m.0/cv1/conv/Conv
packed	0	34	6	conv	resident_core	543.28	/model.6/m.0/m/m.0/cv2/conv/Conv
packed	0	-1	7	add_silu	resident_core	175.607	/model.6/m.0/m/m.0/Add
packed	0	36	8	conv	resident_core	583.193	/model.6/m.0/m/m.1/cv1/conv/Conv
packed	0	38	9	conv	resident_core	546.155	/model.6/m.0/m/m.1/cv2/conv/Conv
