kernel	stride	operations	macs	mean_us
1x1	1x1	43	978048000	80789.093160
3x3	1x1	24	476467200	27604.079960
3x3	2x2	5	516096000	27782.820880
all-profiled-dense-outside	all	72	1970611200	136175.994000
