timestamp_utc	elapsed_s	top_mC	gpu_mC	cluster0_mC	cluster1_mC	cpu0_khz	cpu1_khz	cpu2_khz	cpu3_khz	cpu4_khz
2026-07-14T19:03:59Z	320	69000	69000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:04:04Z	325	70000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:04:09Z	330	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:04:14Z	335	70000	69000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:04:19Z	340	70000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:04:24Z	345	70000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:04:29Z	350	69000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:04:34Z	355	72000	70000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:04:39Z	360	70000	69000	77000	73000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:04:44Z	365	70000	67000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:04:49Z	370	68000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:04:54Z	375	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:04:59Z	380	70000	70000	77000	74000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:05:05Z	386	71000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:05:10Z	391	70000	69000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:05:15Z	396	70000	69000	79000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:05:20Z	401	69000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:05:25Z	406	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:05:30Z	411	70000	69000	78000	74000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:05:35Z	416	69000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:05:40Z	421	70000	70000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:05:45Z	426	70000	69000	78000	73000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:05:50Z	431	71000	69000	77000	74000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:05:55Z	436	70000	69000	78000	73000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:06:00Z	441	70000	70000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:06:05Z	446	71000	70000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:06:11Z	452	71000	70000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:06:16Z	457	71000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:06:21Z	462	70000	69000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:06:26Z	467	70000	70000	78000	77000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:06:31Z	472	70000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:06:36Z	477	71000	71000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:06:41Z	482	70000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:06:46Z	487	70000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:06:51Z	492	70000	68000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:06:56Z	497	71000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:07:01Z	502	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:07:06Z	507	70000	69000	79000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:07:11Z	512	70000	71000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:07:17Z	518	70000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:07:22Z	523	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:07:27Z	528	70000	70000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:07:32Z	533	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:07:37Z	538	71000	69000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:07:42Z	543	70000	69000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:07:47Z	548	71000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:07:52Z	553	70000	69000	78000	77000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:07:57Z	558	70000	69000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:08:02Z	563	69000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:08:07Z	568	70000	70000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:08:12Z	573	70000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:08:17Z	578	71000	70000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:08:23Z	584	70000	68000	78000	77000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:08:28Z	589	72000	69000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:08:33Z	594	71000	70000	80000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:08:38Z	599	69000	69000	79000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:08:43Z	604	70000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:08:48Z	609	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:08:53Z	614	70000	70000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:08:58Z	619	70000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:09:03Z	624	71000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:09:08Z	629	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:09:13Z	634	71000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:09:18Z	639	69000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:09:23Z	644	72000	69000	79000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:09:29Z	650	71000	69000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:09:34Z	655	69000	69000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:09:39Z	660	71000	70000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:09:44Z	665	70000	68000	76000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:09:49Z	670	71000	68000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:09:54Z	675	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:09:59Z	680	70000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:10:04Z	685	70000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:10:09Z	690	71000	68000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:10:14Z	695	70000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:10:19Z	700	70000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:10:24Z	705	71000	69000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:10:29Z	710	69000	69000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:10:35Z	716	70000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:10:40Z	721	71000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:10:45Z	726	71000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:10:50Z	731	70000	69000	79000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:10:55Z	736	72000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:11:00Z	741	70000	70000	79000	78000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:11:05Z	746	71000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:11:10Z	751	70000	69000	77000	74000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:11:15Z	756	70000	71000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:11:20Z	761	70000	69000	77000	74000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:11:25Z	766	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:11:30Z	771	71000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:11:35Z	776	70000	69000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:11:41Z	782	72000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:11:46Z	787	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:11:51Z	792	70000	70000	78000	77000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:11:56Z	797	70000	70000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:12:01Z	802	71000	69000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:12:06Z	807	70000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:12:11Z	812	71000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:12:16Z	817	70000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:12:21Z	822	71000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:12:26Z	827	70000	69000	80000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:12:31Z	832	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:12:36Z	837	70000	70000	77000	74000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:12:41Z	842	70000	69000	78000	78000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:12:47Z	848	70000	70000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:12:52Z	853	70000	70000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:12:57Z	858	71000	69000	78000	78000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:13:02Z	863	70000	70000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:13:07Z	868	70000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:13:12Z	873	71000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:13:17Z	878	70000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:13:22Z	883	70000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:13:27Z	888	72000	70000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:13:32Z	893	69000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:13:37Z	898	70000	70000	79000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:13:42Z	903	69000	70000	79000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:13:47Z	908	70000	70000	77000	73000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:13:53Z	914	70000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:13:58Z	919	70000	70000	77000	74000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:14:03Z	924	70000	69000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:14:08Z	929	71000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:14:13Z	934	71000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:14:18Z	939	70000	69000	79000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:14:23Z	944	70000	70000	78000	74000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:14:28Z	949	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:14:33Z	954	71000	69000	77000	74000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:14:38Z	959	70000	70000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:14:43Z	964	71000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:14:48Z	969	71000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:14:53Z	974	71000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:14:59Z	980	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:15:04Z	985	69000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:15:09Z	990	71000	70000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:15:14Z	995	69000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:15:19Z	1000	72000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:15:24Z	1005	71000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:15:29Z	1010	70000	70000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:15:34Z	1015	71000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:15:39Z	1020	71000	70000	80000	77000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:15:44Z	1025	71000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:15:49Z	1030	70000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:15:54Z	1035	71000	70000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:15:59Z	1040	70000	69000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:16:05Z	1046	70000	70000	78000	74000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:16:10Z	1051	70000	70000	79000	77000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:16:15Z	1056	71000	70000	78000	77000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:16:20Z	1061	71000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:16:25Z	1066	70000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:16:30Z	1071	70000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:16:35Z	1076	70000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:16:40Z	1081	71000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:16:45Z	1086	71000	70000	77000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:16:50Z	1091	69000	70000	77000	77000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:16:55Z	1096	70000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:17:00Z	1101	70000	70000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:17:05Z	1106	69000	70000	80000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:17:11Z	1112	70000	70000	78000	77000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:17:16Z	1117	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:17:21Z	1122	71000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:17:26Z	1127	70000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:17:31Z	1132	71000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:17:36Z	1137	71000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:17:41Z	1142	70000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:17:46Z	1147	71000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:17:51Z	1152	71000	69000	79000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:17:56Z	1157	70000	69000	77000	77000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:18:01Z	1162	70000	70000	77000	77000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:18:06Z	1167	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:18:11Z	1172	71000	70000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:18:17Z	1178	71000	70000	78000	77000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:18:22Z	1183	70000	71000	78000	78000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:18:27Z	1188	70000	70000	79000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:18:32Z	1193	70000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:18:37Z	1198	70000	67000	79000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:18:42Z	1203	72000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:18:47Z	1208	71000	69000	77000	74000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:18:52Z	1213	70000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:18:57Z	1218	71000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:19:02Z	1223	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:19:07Z	1228	70000	70000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:19:12Z	1233	72000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:19:17Z	1238	70000	69000	77000	78000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:19:23Z	1244	71000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:19:28Z	1249	70000	70000	78000	78000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:19:33Z	1254	71000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:19:38Z	1259	70000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:19:43Z	1264	70000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:19:48Z	1269	70000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:19:53Z	1274	71000	69000	77000	74000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:19:58Z	1279	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:20:03Z	1284	69000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:20:08Z	1289	71000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:20:13Z	1294	70000	70000	78000	77000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:20:18Z	1299	71000	70000	78000	74000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:20:23Z	1304	70000	69000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:20:29Z	1309	71000	70000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:20:34Z	1315	71000	69000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:20:39Z	1320	70000	70000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:20:44Z	1325	70000	69000	76000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:20:49Z	1330	71000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:20:54Z	1335	71000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:20:59Z	1340	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:21:04Z	1345	71000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:21:09Z	1350	70000	69000	79000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:21:14Z	1355	70000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
