surface	samples	mean_us	stddev_us	cv_pct	min_us	median_us	p90_us	p95_us	p99_us	p999_us	max_us	repeats	repeat_mean_cv_pct	process_cpu_mean_us	voluntary_context_switches_mean	involuntary_context_switches_mean	affinity_all_pass	cpu4_7_ime_count	output_hashes	input_us_mean	core_us_mean	dense_us_mean	depthwise_us_mean	attention_us_mean	lut_us_mean	concat_us_mean	transform_us_mean	head_us_mean	raw_samples	raw_evidence
stage54_epoch_spin_10000_soak	10000	167738.0266	1873.420996016451	1.1168731586928369	165497.0	167345.0	169239.0	170529.1	177433.07	182884.19000000003	186348.0	1	0.0	838529.8066	0.0	2.7587	1	0	0xd43f5e018b415631	2305.325927	19798.28362	83287.46837	15229.44206	21971.294469999997	11198.79969	3911.2293590000004	2427.955276	7517.394872	10000	/data/ncnn-logs/ai-team/2026-07-14/2026-07-14_16-36-04__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE54-CURRENT-GRAPH-EXECUTOR-FINAL-PRACTICAL-MAXIMIZATION-DENSE-VECTOR-FUSION-SCHEDULER-COST-MODEL-AND-DUAL-REMOTE-GATE-001__stage54-final-executor-max/artifacts/board-logs/final_spin_10000.log
stage54_condition_variable_10000_soak	10000	180403.1086	2057.1408439023335	1.140302326199679	178622.0	179850.0	182150.9	183174.05	190387.2	197072.41100000008	214786.0	1	0.0	643502.3978	1222.9211	3.9979	1	0	0xd43f5e018b415631	2391.59442	21980.63649	87575.13855	15701.5004	22478.09734	13360.56388	5965.023673	3287.28055	7505.7997909999995	10000	/data/ncnn-logs/ai-team/2026-07-14/2026-07-14_16-36-04__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE54-CURRENT-GRAPH-EXECUTOR-FINAL-PRACTICAL-MAXIMIZATION-DENSE-VECTOR-FUSION-SCHEDULER-COST-MODEL-AND-DUAL-REMOTE-GATE-001__stage54-final-executor-max/artifacts/board-logs/final_cv_10000.log
