index	image_id	width	height	decode_letterbox_us	executor_us	decode_output_us	detections	output_hash
0	139	640	426	30524	230098	70.001	299	0x95c5770d8878f858
1	285	586	640	38306.6	229379	33.917	11	0xd979bcddbcf1aa7
2	632	640	483	27204	229775	72.044	300	0xe945449ed6f22e88
3	724	375	500	25318.6	229043	39.542	74	0xbf25d44c8d059e83
4	776	428	640	26102.4	229630	42.293	69	0x2705458d328a3ece
5	785	640	425	24002.3	229050	39.334	61	0x4b564353bafcd65e
6	802	424	640	21126.5	232764	32.126	21	0x9bd932c97717c29b
7	872	621	640	38431.9	230295	40.126	84	0x3eb9836db8767126
8	885	640	427	23455.9	228330	60.626	231	0x82cba532f8dea5fb
9	1000	640	480	32406.4	228676	68.876	286	0xd9eaa865ccf323a
10	1268	640	427	25577.6	230332	69.419	300	0xe8ae2026fd85cb64
11	1296	427	640	24673.7	229375	49.792	142	0xefaaa24be1f8f511
12	1353	375	500	21076.2	229762	50.001	150	0x27472789c57664b0
13	1425	640	512	22613.4	230057	47.126	107	0xd9aac1b013a28b8f
14	1490	640	315	15782.8	231234	38.668	61	0x7724d40570725a75
15	1503	320	240	10977.1	230569	41.835	87	0x8c18b098a59b35e8
16	1532	640	480	27681	228018	68.877	295	0xa8dc13fe2effd902
17	1584	612	612	35673.9	230942	65.919	288	0x180b6f28feb830e
18	1675	640	480	24191.3	228592	41.918	92	0x8c451c65fb4ce92d
19	1761	427	640	22677.3	227758	42.918	102	0x23ed271cbf0c148f
20	1818	640	425	24199.1	228880	37.417	48	0xf2a9b1a2d01d8571
21	1993	640	419	22590.1	228823	44.21	118	0x4df8bfb3f4d64921
22	2006	640	480	27911.4	231416	62.001	241	0x8dd69485296d3a26
23	2149	640	427	20585.3	229682	48.793	137	0x4d0777df89df377e
24	2153	640	480	26744.3	228827	37.626	65	0x1a479a63c040fe6a
25	2157	640	427	23537.2	230953	68.585	292	0xaacc5cadd8cb2744
26	2261	640	427	26023.6	227955	35.542	29	0xcca883adb8afad64
27	2299	500	302	16622.6	228295	67.876	296	0x39e1f4b0ba8e0415
28	2431	457	640	25140.9	229175	59.418	223	0xe1a16cd6e4aebac3
29	2473	640	427	22230.7	227864	49.835	142	0x8a519d7da1ab3024
30	2532	480	640	28961.4	231923	39.168	79	0xb7784aae4c401911
31	2587	500	375	22157.8	230090	41.834	90	0xdf3b94810f0a818f
32	2592	640	366	20408.1	228383	34.042	34	0xacb4322622889677
33	2685	640	555	34393.7	267024	71.127	292	0x383ecda3a36da766
34	2923	500	375	21798.8	228285	66.752	275	0x6f2a34d126c27d95
35	3156	443	640	21494	230714	46.501	115	0x4ffdc0d3ba40d5dc
36	3255	640	363	21867.8	228811	41.001	93	0x5dfcd021fd73b60e
37	3501	612	612	35909.1	232426	37.834	63	0xe6fa6aed355447fe
38	3553	640	427	24277.9	227992	38.376	53	0xfca07dcf496d4e3
39	3661	640	384	21039	229038	49.251	136	0xd8a33c6cd7f6f142
40	3845	500	375	23730.5	230020	45.959	126	0xa40084886ea78a43
41	3934	375	500	23093.4	229208	69.168	300	0xba64248e2dbd9fc7
42	4134	640	425	24802.9	229127	67.918	298	0x3740619deb6919bf
43	4395	425	640	21252.2	229495	37.459	49	0x69eb3d8e8af41d0b
44	4495	500	375	22086.8	229785	35.167	31	0x511554f075e02786
45	4765	612	612	35008.5	230747	30.917	9	0xdedb3ee5787effe2
46	4795	640	480	27675.2	229965	48.168	125	0x9508f6ab73576892
47	5001	640	480	27808.2	229428	69.168	298	0x3f144b95912dcb6d
48	5037	640	425	25307.8	229125	67.418	300	0xeb78b85dff7d2794
49	5060	480	640	27607	229992	56.168	201	0x2dd582d52a143859
50	5193	640	425	22246.3	229206	69.21	300	0x971458c7e9a001ca
51	5477	640	349	20673.6	228926	42.959	85	0x480da622592fb619
52	5503	333	500	16873.6	228478	34.959	28	0x2c534de19296265
53	5529	444	640	27672	231692	34.251	50	0x2047c172ccb44538
54	5586	320	240	11987.9	229329	67.668	296	0xc36332e3750ca58e
55	5600	640	361	21321.1	229126	47.043	131	0xb319faf81f00dd22
56	5992	640	428	25574.4	228943	37.168	51	0x9b0845c3b869f7d2
57	6012	640	531	29710.2	228698	37.626	51	0x1b3c610d77200635
58	6040	640	351	21494	228530	53.584	195	0x2e4754b103636ea
59	6213	640	425	22143	229676	41.126	82	0xafc87e3767b0fba8
60	6460	640	427	20767.2	227496	37.001	56	0x4c36a9515ff4e07c
61	6471	500	333	18572.4	232128	68.835	297	0x9ca2b585225c2fd2
62	6614	500	396	19660	228956	45.501	121	0xc2b0d534a5b62689
63	6723	640	361	22811.4	228320	68.168	292	0x78a2f894be3a8101
64	6763	375	500	21403	231000	53.876	182	0xb14b254e742a841f
65	6771	640	427	24091.3	230776	50.209	162	0xd379f31611ca5337
66	6818	427	640	21819.5	228678	35.335	42	0x515478040a29d203
67	6894	640	480	25072.6	228391	36.626	18	0x335ae9acc3fae9cc
68	6954	640	480	29640.7	229930	38.668	57	0xb7802a9be7e745b3
69	7088	478	640	29263.9	232909	47.042	135	0x64e163e74de6f3a4
70	7108	640	426	24478.2	229135	33.25	20	0x20ac1150fdc50e9e
71	7278	640	482	31808.6	228107	34.334	41	0xa975055560404ac7
72	7281	640	361	21483.5	228592	55.835	200	0x7b2b9ff745f75929
73	7386	600	400	27309.1	229626	47.501	123	0x6ed7a77dc239e6c3
74	7511	640	480	26527.6	230182	68.627	291	0x9f32eb480d5a2d5b
75	7574	640	480	27096.9	228380	69.376	300	0xbdca2831b4024ac1
76	7784	500	375	19986.1	227422	33.084	5	0xe2879e9b1a4798b8
77	7795	640	427	24362.3	231071	42.543	96	0xd5bac78850fb95f
78	7816	640	427	25172.9	228169	45.126	111	0xfb267bf70c1032b8
79	7818	640	427	21914.5	229440	58.043	205	0xd99d4f56ee37ce12
80	7888	638	640	14466	228564	31.918	17	0xd573942501db779e
81	7977	429	640	26695	228826	54.584	192	0xc4fb51663ef32a4
82	7991	640	359	23022.7	229359	68.918	294	0xa9310a1be7a0230e
83	8021	640	480	27978.9	228253	43.209	77	0x7e979804da5526e
84	8211	640	459	29356.6	229495	52.334	175	0x1da5420e1e9a5db2
85	8277	612	612	38248	231858	48.585	137	0x1fb96bca25d2ba5a
86	8532	640	426	23067.5	229455	34.126	18	0x953952e9edee69a7
87	8629	640	640	35674.8	228873	51.834	178	0xf411c9deaab431a8
88	8690	640	480	29527.4	229400	48.168	120	0x6b70a587a259c0c5
89	8762	640	427	20435.7	230280	67.418	294	0x900d753d3414bd25
90	8844	640	426	22498.7	228647	66.96	273	0xe28d3799c88778be
91	8899	640	539	33651.2	228261	34.167	20	0xb317415238f76689
92	9378	600	400	23438.3	228603	52.751	169	0x2de9be2d07d6a8e6
93	9400	640	480	24743.7	232183	70.085	300	0x2cbee6cf86d07801
94	9448	551	640	36091.5	230558	38.668	59	0x79ea539219bf3dbd
95	9483	640	480	26163.3	229267	55.96	176	0xa99b33956b45969d
96	9590	640	427	24107.3	228877	68.46	296	0x7d86a73edb73e24f
97	9769	640	480	33038.5	229136	47.876	109	0x80cda96f76f7ce54
98	9772	550	640	32617.5	230035	68.501	298	0xf174f4973b89e8b2
99	9891	640	480	26179.9	230078	67.626	300	0x106b6231c90265ce
