shape_id	shape	samples	cycles_per_inference_median	instructions_per_inference_median	cycles_min	cycles_max	instructions_min	instructions_max	ipc_ratio_of_medians
d0	C48_to_C64_1x1_160	4	24114962.383333333	29602295.35	-30324191.4	60740827.9	-59664221.5	56467973.1	1.2275488918224127
d1	C32_to_C32_1x1_160	4	16366976.75	51768245.266666666	-70351716.5	81927366.4	-86624246.2	142521323.6	3.1629693166556656
d3	C80_to_C80_1x1_80	4	-15650150.466666667	-22249773.65	-77602819.8	133040636.9	-84183821.2	82673270.66666667	0
d4	C16_to_C32_3x3s2_160	4	390996.90000000224	-25641828.366666667	-58184633.3	103027209.26666667	-79556818.6	129562113.1	-65.58064364875149
d5	C64_to_C64_3x3s2_80	4	25337472.650000002	20785915.450000003	-44925234.4	100540115.8	20289776.2	21762543.5	0.820362620105285
d6	C256_to_C64_1x1_80	4	26994013.366666667	17586794.85	-15612855.7	112935833.0	7308848.6	98074291.1	0.6515072290701652
