operation_index	kind	scope	name	mean_us	p95_us	samples	implementation	confidence
32	conv	resident_core	/model.6/m.0/m/m.0/cv1/conv/Conv	554.777700	594.723600	70	stage54-selected-explicit-or-measured	70 complete profiled observations
34	conv	resident_core	/model.6/m.0/m/m.0/cv2/conv/Conv	553.309229	589.013450	70	stage54-selected-explicit-or-measured	70 complete profiled observations
36	conv	resident_core	/model.6/m.0/m/m.1/cv1/conv/Conv	555.459243	589.439000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
38	conv	resident_core	/model.6/m.0/m/m.1/cv2/conv/Conv	563.677086	590.268350	70	stage54-selected-explicit-or-measured	70 complete profiled observations
40	concat	resident_core	/model.6/m.0/Concat	6.759643	7.258300	70	stage54-selected-explicit-or-measured	70 complete profiled observations
41	conv	resident_core	/model.6/m.0/cv3/conv/Conv	513.076086	541.092050	70	stage54-selected-explicit-or-measured	70 complete profiled observations
42	concat	resident_core	/model.6/Concat	55.580929	57.962800	70	stage54-selected-explicit-or-measured	70 complete profiled observations
43	conv	resident_core	/model.6/cv2/conv/Conv	1414.320643	1468.517350	70	stage54-selected-explicit-or-measured	70 complete profiled observations
45	conv	resident_core	/model.7/conv/Conv	1745.951100	1825.485350	70	stage54-selected-explicit-or-measured	70 complete profiled observations
47	conv	resident_core	/model.8/cv1/conv/Conv	728.513914	763.065300	70	stage54-selected-explicit-or-measured	70 complete profiled observations
49	conv	resident_core	/model.8/m.0/cv1/conv/Conv	150.714457	153.770050	70	stage54-selected-explicit-or-measured	70 complete profiled observations
50	conv	resident_core	/model.8/m.0/cv2/conv/Conv	158.326500	160.111750	70	stage54-selected-explicit-or-measured	70 complete profiled observations
52	conv	resident_core	/model.8/m.0/m/m.0/cv1/conv/Conv	452.155271	485.223750	70	stage54-selected-explicit-or-measured	70 complete profiled observations
54	conv	resident_core	/model.8/m.0/m/m.0/cv2/conv/Conv	446.574943	478.864750	70	stage54-selected-explicit-or-measured	70 complete profiled observations
