operation_index	kind	scope	name	mean_us	p95_us	samples	implementation	confidence
190	matmul	full_executor	/model.22/m.0/m.0.1/attn/MatMul_1	3567.588600	3863.377300	70	stage54-selected-explicit-or-measured	70 complete profiled observations
191	lut2	full_executor	/model.22/m.0/m.0.1/attn/Add_output_0_QuantizeLinear	1496.157700	1555.849350	70	stage54-selected-explicit-or-measured	70 complete profiled observations
192	conv_dense	full_executor	/model.22/m.0/m.0.1/attn/proj/conv/Conv	215.968643	229.578900	70	stage54-selected-explicit-or-measured	70 complete profiled observations
193	lut2	full_executor	/model.22/m.0/m.0.1/Add_output_0_QuantizeLinear	223.841314	249.610850	70	stage54-selected-explicit-or-measured	70 complete profiled observations
194	conv_dense	full_executor	/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv	506.756329	531.042500	70	stage54-selected-explicit-or-measured	70 complete profiled observations
195	lut1	fused_into_dense_conv	/model.22/m.0/m.0.1/ffn/ffn.0/act/Mul_output_0_QuantizeLinear	0.000000	0.000000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
196	conv_dense	full_executor	/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv	292.802029	313.290500	70	stage54-selected-explicit-or-measured	70 complete profiled observations
197	lut2	full_executor	/model.22/m.0/m.0.1/Add_1_output_0@/model.22/Concat_output_0_QuantizeLinear_Output	211.005486	218.796050	70	stage54-selected-explicit-or-measured	70 complete profiled observations
198	concat	full_executor	/model.22/Concat	95.748486	98.662650	70	stage54-selected-explicit-or-measured	70 complete profiled observations
199	conv_dense	full_executor	/model.22/cv2/conv/Conv	797.586443	829.528200	70	stage54-selected-explicit-or-measured	70 complete profiled observations
200	lut1	fused_into_dense_conv	/model.22/cv2/act/Mul_output_0_QuantizeLinear	0.000000	0.000000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
201	conv_dense	full_executor	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	638.271271	668.804100	70	stage54-selected-explicit-or-measured	70 complete profiled observations
202	conv_grouped	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv	384.074386	392.037000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
203	lut1	full_executor	/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul_output_0_QuantizeLinear	9.398886	10.596050	70	stage54-selected-explicit-or-measured	70 complete profiled observations
204	lut1	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul_output_0_QuantizeLinear	34.504486	33.712650	70	stage54-selected-explicit-or-measured	70 complete profiled observations
205	conv_dense	full_executor	/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv	58.226186	60.317550	70	stage54-selected-explicit-or-measured	70 complete profiled observations
206	conv_dense	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	196.073271	202.585000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
207	lut1	full_executor	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0_QuantizeLinear	8.271514	8.552200	70	stage54-selected-explicit-or-measured	70 complete profiled observations
208	lut1	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul_output_0_QuantizeLinear	15.941743	16.612650	70	stage54-selected-explicit-or-measured	70 complete profiled observations
209	conv_dense	full_executor	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv	20.867486	20.947950	70	stage54-selected-explicit-or-measured	70 complete profiled observations
210	conv_grouped	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv	122.654029	128.467550	70	stage54-selected-explicit-or-measured	70 complete profiled observations
211	lut1	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul_output_0_QuantizeLinear	11.819200	12.833150	70	stage54-selected-explicit-or-measured	70 complete profiled observations
212	conv_dense	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv	119.498143	158.047500	70	stage54-selected-explicit-or-measured	70 complete profiled observations
213	lut1	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0_QuantizeLinear	17.962057	20.198400	70	stage54-selected-explicit-or-measured	70 complete profiled observations
214	conv_dense	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv	123.888657	124.952750	70	stage54-selected-explicit-or-measured	70 complete profiled observations
