surface	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
stage53_reproduced_condition_variable	0	0	252488	12248.3	21797.4	140151	20319.5	21932.6	17858.7	5821.97	4169.47	8021.52	929681	1300	7	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	1	252781	12237.5	21790.5	140466	20215.5	22300.8	17321.6	5916.1	4209.39	8158.23	929376	1306	1	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	2	252701	12354.7	21781	140163	20211.5	22012.4	17689.6	6007.64	4344.06	7971.77	929724	1294	2	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	3	255184	12369.6	21804.2	141923	20300.6	22199.3	18239.7	5939.31	4255.81	7995.31	931623	1307	2	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	4	252231	12341.9	21787.5	140189	20359	22107.4	17036.4	5920.34	4271.02	8048.56	926790	1304	3	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	5	252895	12319.9	22002.5	140227	20212.5	21823.4	17891.4	5933.47	4274.26	8045.44	929992	1307	1	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	6	255173	12312.8	21824	142365	20393.1	22013.2	17824.2	5910.26	4254.02	8112.44	933864	1316	8	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	7	253605	12307.5	21663.4	141048	20299.6	21978.6	17746.5	5949.35	4196.31	8247.07	931296	1311	10	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	8	253027	12514.3	21794.8	140342	20479.8	22277.3	17467	5767.97	4207.31	8021.39	929639	1309	0	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	9	252559	12323.1	21565.9	140129	20256	22018.6	17863.3	5927.72	4296.68	8016.14	929079	1308	1	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	10	252317	12302.8	21652.9	140489	20171.8	21897.2	17557.9	5781.72	4327.81	7965.94	926809	1303	0	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	11	255248	12259.3	21722.3	142602	20345.3	22139.8	17801.4	5916.68	4287.47	8012.52	931069	1301	0	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	12	252229	12293.2	21552.7	140081	20204.2	21931.3	17874	5865.64	4244.26	8020.27	928172	1305	2	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	13	252420	12508.3	21818.3	140320	20215.9	21785.3	17364	5855.93	4291.3	8095.44	928391	1312	7	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	14	251879	12293.7	21619.2	140362	20140.4	21649.9	17325.7	6029.56	4235.68	8061.65	928333	1311	1	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	15	252274	12248.4	21764.5	140550	20206.8	21978.6	17242.7	5916.55	4235.18	7962.35	928293	1306	1	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	16	252107	12235.6	21663.8	140156	20228.3	21890	17518.3	5995.93	4200.76	8042.1	928982	1295	0	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	17	253065	12245.7	21754	140610	20380.2	22310.4	17306.6	6021.89	4225.18	8037.35	930080	1309	8	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	18	252623	12332.5	21977.2	140210	20030.5	22019.8	17732	5891.55	4247.39	8020.23	929538	1304	1	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	19	255896	12283.5	21922	143050	20131.8	22121.8	17983.9	5902.93	4320.89	8012.77	932908	1293	1	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	20	252612	12285.9	21815.2	140861	20293.3	21700.3	17215.7	6067.06	4172.76	8034.31	928957	1301	3	1	0	0xd43f5e018b415631
stage53_reproduced_condition_variable	0	21	252903	12434.7	21790.9	140899	20145.4	21966.1	17545.4	5756.8	4153.97	8048.1	929582	1296	8	1	0	0xd43f5e018b415631
