surface	repeat	run	wall_us	process_cpu_us	input_wrap_us	ort_run_us	output_copy_us
matched_b120_ort_cpu0_3_intra4	0	96	455535.706	1822802.785	9.584	455200.031	291.923
matched_b120_ort_cpu0_3_intra4	0	97	458079.306	1825002.035	10.208	457757.757	266.173
matched_b120_ort_cpu0_3_intra4	0	98	454220.092	1819615.908	9.667	453879.25	290.423
matched_b120_ort_cpu0_3_intra4	0	99	460761.202	1840294.869	9.709	460426.235	281.59
matched_b120_ort_cpu0_3_intra4	1	0	454557.766	1822093.493	13.042	454155.423	352.259
matched_b120_ort_cpu0_3_intra4	1	1	455802.379	1821666.659	11.042	455424.911	329.674
matched_b120_ort_cpu0_3_intra4	1	2	457772.382	1823697.577	10.667	457451.833	265.256
matched_b120_ort_cpu0_3_intra4	1	3	456774.651	1824288.868	10.375	456445.643	272.923
matched_b120_ort_cpu0_3_intra4	1	4	459693.177	1838913.324	10.25	459370.669	265.256
matched_b120_ort_cpu0_3_intra4	1	5	457442.333	1825099.785	8.792	457118.658	268.423
matched_b120_ort_cpu0_3_intra4	1	6	457081.658	1835886.912	9.667	456761.067	271.631
matched_b120_ort_cpu0_3_intra4	1	7	456043.425	1823846.494	10.042	455700.5	291.257
matched_b120_ort_cpu0_3_intra4	1	8	458486.607	1825756.702	10.333	458159.141	268.506
matched_b120_ort_cpu0_3_intra4	1	9	455481.787	1822739.369	10.583	455155.821	269.34
matched_b120_ort_cpu0_3_intra4	1	10	454637.643	1821765.744	10.376	454316.135	268.714
matched_b120_ort_cpu0_3_intra4	1	11	456341.224	1823030.578	10.417	456019.674	267.548
matched_b120_ort_cpu0_3_intra4	1	12	462149.941	1853804.201	10.167	461771.891	276.173
matched_b120_ort_cpu0_3_intra4	1	13	457033.406	1824168.747	12.208	456701.857	279.882
matched_b120_ort_cpu0_3_intra4	1	14	456077.634	1822549.493	9.583	455763.877	267.423
matched_b120_ort_cpu0_3_intra4	1	15	455086.236	1822042.074	10.001	454686.101	351.884
matched_b120_ort_cpu0_3_intra4	1	16	459618.591	1826377.993	11.209	459294.083	267.673
matched_b120_ort_cpu0_3_intra4	1	17	458376.645	1837408.575	10.5	458058.555	260.964
matched_b120_ort_cpu0_3_intra4	1	18	457688.463	1822913.578	9.417	457364.247	269.381
matched_b120_ort_cpu0_3_intra4	1	19	457206.618	1834657.661	9.25	456891.403	267.048
matched_b120_ort_cpu0_3_intra4	1	20	459420.795	1838450.576	10.459	459098.245	275.007
matched_b120_ort_cpu0_3_intra4	1	21	460231.314	1839414.368	9.709	459897.388	286.007
matched_b120_ort_cpu0_3_intra4	1	22	454289.759	1808986.368	9.458	453957.377	275.798
matched_b120_ort_cpu0_3_intra4	1	23	465004.715	1863198.118	9.209	464631.54	324.841
matched_b120_ort_cpu0_3_intra4	1	24	458999.91	1826424.325	10.75	458672.444	268.756
matched_b120_ort_cpu0_3_intra4	1	25	461911.893	1852879.952	11.709	461594.636	266.298
matched_b120_ort_cpu0_3_intra4	1	26	456073.176	1823282.495	9.917	455748.626	273.048
