arm	operation_index	kind	scope	name	samples	mean_us	median_us	p95_us	min_us	max_us
direct	41	conv	resident_core	/model.6/m.0/cv3/conv/Conv	140	504.876779	501.578500	531.885700	489.621000	763.931000
direct	42	concat	resident_core	/model.6/Concat	140	54.768479	53.640500	57.685200	49.787000	92.117000
direct	43	conv	resident_core	/model.6/cv2/conv/Conv	140	1423.708971	1416.391000	1484.606600	1338.459000	2144.183000
direct	45	conv	resident_core	/model.7/conv/Conv	140	1781.586686	1778.316000	1843.082800	1695.344000	2469.320000
direct	47	conv	resident_core	/model.8/cv1/conv/Conv	140	732.307514	728.766500	759.387250	707.145000	905.294000
direct	49	conv	resident_core	/model.8/m.0/cv1/conv/Conv	140	151.761436	148.737000	189.112100	143.320000	204.315000
direct	50	conv	resident_core	/model.8/m.0/cv2/conv/Conv	140	161.141600	157.278000	192.549350	153.152000	297.099000
direct	52	conv	resident_core	/model.8/m.0/m/m.0/cv1/conv/Conv	140	454.257321	447.729000	489.267800	440.669000	510.246000
direct	54	conv	resident_core	/model.8/m.0/m/m.0/cv2/conv/Conv	140	444.649271	439.854500	477.503700	431.628000	539.993000
direct	56	conv	resident_core	/model.8/m.0/m/m.1/cv1/conv/Conv	140	446.401814	443.001000	479.300000	437.459000	484.789000
direct	58	conv	resident_core	/model.8/m.0/m/m.1/cv2/conv/Conv	140	434.370429	429.482000	468.639200	426.085000	498.369000
direct	60	concat	resident_core	/model.8/m.0/Concat	140	5.205800	4.853500	5.707050	4.042000	49.162000
direct	61	conv	resident_core	/model.8/m.0/cv3/conv/Conv	140	303.006779	299.015000	336.964150	292.889000	346.594000
direct	62	concat	resident_core	/model.8/Concat	140	29.118571	28.580000	31.247000	26.206000	64.994000
direct	63	conv	resident_core	/model.8/cv2/conv/Conv	140	903.923664	896.981500	950.948550	850.216000	975.119000
direct	65	conv	resident_core	/model.9/cv1/conv/Conv	140	391.030086	389.172500	398.918600	380.215000	455.250000
direct	66	concat	resident_core	/model.9/Concat	140	103.495007	102.490500	110.183750	94.991000	138.570000
direct	67	conv	resident_core	/model.9/cv2/conv/Conv	140	1004.648993	1002.825000	1054.577300	938.333000	1081.026000
direct	69	conv_dense	full_executor	/model.10/cv1/conv/Conv	140	1015.904564	1004.406000	1056.787850	983.283000	1390.413000
direct	70	split	full_executor	/model.10/Split	140	29.328279	28.934500	31.171400	26.581000	65.411000
direct	71	conv_dense	full_executor	/model.10/m/m.0/attn/qkv/conv/Conv	140	909.333314	896.354500	937.346350	880.588000	1228.971000
direct	72	split	full_executor	/model.10/m/m.0/attn/Split	140	351.566079	347.697500	381.837550	346.427000	485.456000
direct	73	split	full_executor	/model.10/m/m.0/attn/Split	140	701.241550	692.478500	728.204750	691.518000	995.075000
direct	74	reshape_split_transpose	full_executor	/model.10/m/m.0/attn/Transpose	140	358.877043	354.759000	387.100850	351.175000	485.789000
direct	75	reshape	full_executor	/model.10/m/m.0/attn/Reshape_2	140	25.603643	24.748000	29.269900	20.832000	67.911000
direct	76	matmul	full_executor	/model.10/m/m.0/attn/MatMul	140	2904.638271	2897.298000	2920.815750	2863.861000	3996.800000
direct	77	conv_grouped	full_executor	/model.10/m/m.0/attn/pe/conv/Conv	140	5696.092243	5679.511000	5711.577800	5655.915000	7556.608000
direct	78	softmax_transpose	full_executor	/model.10/m/m.0/attn/Transpose_1	140	4541.969164	4537.099500	4598.390450	4480.873000	4986.132000
direct	79	matmul	full_executor	/model.10/m/m.0/attn/MatMul_1	140	3447.568407	3461.034500	3623.024200	3143.089000	3988.088000
direct	80	lut2	full_executor	/model.10/m/m.0/attn/Add_output_0_QuantizeLinear	140	1824.827350	1813.500500	1843.388500	1799.547000	2728.455000
direct	81	conv_dense	full_executor	/model.10/m/m.0/attn/proj/conv/Conv	140	431.170121	425.919000	454.167600	419.377000	635.233000
direct	82	lut2	full_executor	/model.10/m/m.0/Add_output_0_QuantizeLinear	140	228.733000	226.792500	237.165750	222.521000	342.843000
direct	83	conv_dense	full_executor	/model.10/m/m.0/ffn/ffn.0/conv/Conv	140	934.911086	922.332500	956.763700	909.667000	1291.882000
direct	84	lut1	full_executor	/model.10/m/m.0/ffn/ffn.0/act/Mul_output_0_QuantizeLinear	140	46.627271	45.454000	52.711400	41.163000	65.452000
direct	85	conv_dense	full_executor	/model.10/m/m.0/ffn/ffn.1/conv/Conv	140	524.219371	519.078500	552.462450	510.538000	668.646000
direct	86	lut2	full_executor	/model.10/m/m.0/Add_1_output_0@/model.10/Concat_output_0_QuantizeLinear_Output	140	243.109664	241.916000	248.939400	234.853000	351.093000
direct	87	concat	full_executor	/model.10/Concat	140	46.730271	46.183000	49.504300	43.746000	74.452000
direct	88	conv_dense	full_executor	/model.10/cv2/conv/Conv	140	1062.031936	1058.193500	1090.211100	1039.322000	1253.217000
direct	89	concat	full_executor	/model.12/Concat	140	505.034814	493.829500	581.198850	459.625000	607.152000
direct	90	conv_dense	full_executor	/model.13/cv1/conv/Conv	140	2834.941364	2832.060000	2857.774450	2769.364000	4365.727000
direct	91	split	full_executor	/model.13/Split	140	51.740193	51.412000	53.370000	47.496000	80.284000
direct	92	conv_dense	full_executor	/model.13/m.0/cv1/conv/Conv	140	443.318414	450.356000	473.136650	395.422000	650.024000
direct	93	conv_dense	full_executor	/model.13/m.0/cv2/conv/Conv	140	403.860764	397.713500	442.352900	375.799000	609.820000
direct	94	lut1	full_executor	/model.13/m.0/cv1/act/Mul_output_0_QuantizeLinear	140	24.357864	23.852000	26.000050	22.040000	59.494000
