metric	value
mean_total_us	41669.2
stddev_total_us	159.719
cv_total_pct	0.383302
mean_input_adapter_us	2615.76
mean_conv_us	26869.6
mean_activation_requant_us	2998.92
mean_merge_us	2088.94
mean_output_quantize_us	7073.94
mean_thread_overhead_us	4980.87
mean_correction_us	3773.79
mean_branch0_conv_us	7802.31
mean_branch0_activation_us	1259.16
mean_branch1_conv_us	6488.37
mean_branch1_activation_us	1739.76
mean_model4_cv2_conv_us	12578.9
mean_attributed_us	41647.2
mean_attribution_pct	99.9472
mean_other_us	21.9888
conv_share_pct	64.4832
activation_share_pct	7.19698
merge_share_pct	5.01316
output_quantize_share_pct	16.9765
mismatches	0
max_abs_diff	0
checksum	106597930
affinity_ok	1
output_sha256	70adcf083e85ea95d5fb42e57ea26f51255944aaa442cde4d919f5ae551b3433
frm_sweep	pass
