case	mode	thread_branch0	thread_branch1	thread_model4_cv2	mean_total_us	stddev_total_us	cv_total_pct	mean_conv_us	mean_branch0_conv_us	mean_branch1_conv_us	mean_model4_cv2_conv_us	mean_activation_requant_us	mean_merge_us	mean_output_quantize_us	mean_thread_overhead_us	mean_correction_us	mean_attribution_pct	mismatches	max_abs_diff	checksum	affinity_ok	conv_share_pct	activation_share_pct	merge_share_pct	output_quantize_share_pct
ime_single	ime	0	0	0	91636.9	332.135	0.362446	77170.4	22088.4	17750.1	37331.9	2972.4	2041.81	6852.3	0	8926.82	99.9847	0	0	106597930	1	84.2132	3.24367	2.22815	7.47767
all1	ime_threaded	1	1	1	94921.7	92.8593	0.0978273	80361.6	22745.4	18428.5	39187.7	2997.91	2031.74	6886.03	705.023	10630.1	99.9801	0	0	106597930	1	84.661	3.1583	2.14043	7.25443
b0_2_b1_4_cv2_4	ime_threaded	2	4	4	44666	176.277	0.394657	29848.9	12194.6	5384.42	12269.9	3004.39	2085.89	7074.49	2399.09	4064.53	99.9503	0	0	106597930	1	66.8269	6.72634	4.66998	15.8386
b0_3_b1_4_cv2_4	ime_threaded	3	4	4	41798.2	342.739	0.819985	26951.6	8797.85	5749.16	12404.6	3005.97	2097.43	7085.21	3207.42	3893.59	99.9479	0	0	106597930	1	64.4804	7.19162	5.01801	16.951
b0_4_b1_4_cv2_4	ime_threaded	4	4	4	41642.8	544.51	1.30757	26826	7680.3	6430.15	12715.5	3004.85	2100.02	7081.21	4710.67	3780.45	99.9458	0	0	106597930	1	64.4193	7.21577	5.04294	17.0047
b0_4_b1_2_cv2_4	ime_threaded	4	2	4	44084.1	528.658	1.1992	29304.9	7427.12	9978.16	11899.6	3001.94	2081.12	7068.99	2848.98	4264.62	99.9506	0	0	106597930	1	66.4749	6.80956	4.7208	16.0352
b0_4_b1_3_cv2_4	ime_threaded	4	3	4	42621.3	491.724	1.15371	27766	7879.94	7379.41	12506.7	3032.26	2046.99	7112.43	4285.2	3929.75	99.9491	0	0	106597930	1	65.1459	7.11444	4.80274	16.6875
b0_4_b1_4_cv2_2	ime_threaded	4	4	2	48457.9	334.998	0.691317	33611.5	6553.46	6326.41	20731.6	3004.27	2090.73	7112.35	2424.9	5363.68	99.956	0	0	106597930	1	69.3622	6.19975	4.31453	14.6774
b0_4_b1_4_cv2_3	ime_threaded	4	4	3	43361	515.495	1.18884	28509.5	6951.31	6727.37	14830.8	3000.27	2091.25	7117.98	3686.74	4094.48	99.9496	0	0	106597930	1	65.7491	6.91928	4.82289	16.4156
