candidate	shape_class	thread_count	warmup	runs	repeats	status	mismatches	checksum	affinity_ok	mean_total_us	stddev_total_us	min_total_us	max_total_us	cv_total_pct	mean_conv_us	mean_activation_requant_us	mean_merge_us	mean_thread_overhead_us	mean_branch0_conv_us	mean_branch1_conv_us	mean_model4_cv2_conv_us	mean_correction_us	conv_share_pct	activation_share_pct	merge_share_pct
B0_ime_single_thread_rvv	representative_full_shape_model4_c2f_synthetic	0	10	100	5	0	0	-3094964234	1	163689	7.46138	163678	163701	0.00455827	67154.3	29783.8	66557.2	0	20348.1	15774.2	31032	2503.65	41.0256	18.1954	40.6608
B1_threaded_branch0_1t	representative_full_shape_model4_c2f_synthetic	1	10	100	5	0	0	-3094964234	1	164119	114.325	164033	164338	0.0696596	67572.5	29794.1	66555.8	224.274	20824.7	15809.3	30938.5	2712.87	41.1729	18.1539	40.5534
B1_threaded_branch0_2t	representative_full_shape_model4_c2f_synthetic	2	10	100	5	0	0	-3094964234	1	154291	71.3284	154234	154430	0.0462297	57750.3	29785.9	66557.3	215.72	10941	15820	30989.3	2631.62	37.4295	19.305	43.1375
B1_threaded_branch0_3t	representative_full_shape_model4_c2f_synthetic	3	10	100	5	0	0	-3094964234	1	151066	25.689	151022	151094	0.0170051	54434.4	29805.4	66616.1	189.983	7438.56	15837.5	31158.4	2695.47	36.0335	19.73	44.0972
B1_threaded_branch0_4t	representative_full_shape_model4_c2f_synthetic	4	10	100	5	0	0	-3094964234	1	149539	76.3189	149435	149659	0.0510361	52979.2	29780.3	66564.3	331.159	5876.88	15931.5	31170.8	2690.16	35.4283	19.9147	44.513
C2_split0_concat_lut_4t	representative_full_shape_model4_c2f_synthetic	4	10	100	5	0	0	-3094964234	1	116338	121.933	116130	116448	0.104809	52867.5	29765.2	29791.6	495.062	6029.29	15889.6	30948.6	2673.5	45.443	25.5851	25.6078
