metric	before_B1_4t	after_C2	delta	ratio_after_over_before
mean_total_us	149539.0	116338.0	-33201.0	0.7779776513150416
mean_conv_us	52979.2	52867.5	-111.69999999999709	0.997891625392607
mean_activation_requant_us	29780.3	29765.2	-15.099999999998545	0.9994929533953655
mean_merge_us	66564.3	29791.6	-36772.700000000004	0.4475612302690781
conv_share_pct	35.4283	45.443	10.014699999999998	1.2826751495273552
activation_share_pct	19.9147	25.5851	5.670400000000001	1.284734392182659
merge_share_pct	44.513	25.6078	-18.905199999999997	0.575288118077865
