id	name	shape	dtype	scale	scale_bits	zero_point
0	images_QuantizeLinear_Output	1x3x640x640	uint8	0.0039215688593685627	0x3b808081	0
1	/model.0/conv/Conv_output_0_QuantizeLinear_Output	1x16x320x320	uint8	0.62096840143203735	0x3f1ef7c9	128
2	/model.0/act/Mul_output_0_QuantizeLinear_Output	1x16x320x320	uint8	0.31116288900375366	0x3e9f50be	1
3	/model.1/conv/Conv_output_0_QuantizeLinear_Output	1x32x160x160	uint8	1.114243745803833	0x3f8e9f8a	122
4	/model.1/act/Mul_output_0_QuantizeLinear_Output	1x32x160x160	uint8	0.58250099420547485	0x3f151ec9	0
5	/model.2/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x32x160x160	uint8	0.83649581670761108	0x3f562497	155
6	/model.2/Split_output_1_QuantizeLinear_Output	1x16x160x160	uint8	0.18348428606987	0x3e3be34e	2
7	/model.2/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x8x160x160	uint8	0.038180503994226456	0x3d1c6329	176
8	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	1x8x160x160	uint8	0.012377118691802025	0x3c4ac966	22
9	/model.2/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x16x160x160	uint8	0.52768832445144653	0x3f071695	179
10	/model.2/Concat_output_0_QuantizeLinear_Output	1x48x160x160	uint8	0.32880854606628418	0x3ea85998	2
11	/model.2/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x64x160x160	uint8	0.45538836717605591	0x3ee928aa	186
12	/model.2/cv2/act/Mul_output_0_QuantizeLinear_Output	1x64x160x160	uint8	0.12448897212743759	0x3dfef413	2
13	/model.3/conv/Conv_output_0_QuantizeLinear_Output	1x64x80x80	uint8	0.10164494067430496	0x3dd02b39	157
14	/model.3/act/Mul_output_0_QuantizeLinear_Output	1x64x80x80	uint8	0.040006101131439209	0x3d23dd70	7
15	/model.4/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x64x80x80	uint8	0.068833477795124054	0x3d8cf891	163
