bucket	stage38_replay_us	stage39_fastpack_us	delta_us	speedup
total_us	30334.500000	28073.000000	2261.500000	1.080558
conv_us	18159.800000	15910.300000	2249.500000	1.141386
branch0_conv_us	5991.510000	5139.610000	851.900000	1.165752
branch0_im2col_pack_us	3589.480000	3446.860000	142.620000	1.041377
branch0_compute_us	4089.010000	3916.260000	172.750000	1.044111
branch1_conv_us	4299.750000	3742.780000	556.970000	1.148812
branch1_im2col_pack_us	1968.590000	1908.960000	59.630000	1.031237
branch1_compute_us	2778.930000	2686.710000	92.220000	1.034325
model4_cv2_conv_us	7868.580000	7027.910000	840.670000	1.119619
output_quantize_us	4521.080000	4548.510000	-27.430000	0.993969
thread_overhead_us	4885.870000	2904.020000	1981.850000	1.682451
