run	input_adapter	conv	activation_requant	merge	output_quantize	thread_overhead	correction	conv_im2col_pack	conv_compute	attribution_pct
stage38_replay	2523.97	18159.8	3022.78	2076.79	4521.08	4885.87	2514.44	6677.57	10832.9	99.901
stage38_replay_after	2613.27	17959.6	3015.22	2064.47	4524.87	4714.56	2467.89	6696.52	10827.3	99.9042
stage39_candidate	2487.77	15910.3	3004.88	2091.78	4548.51	2904.02	2452.74	6478.52	10600.9	99.8941
no_measure_stage38	2510.4	18019.6	3021.34	2135.56	4537.73	4817.72	2550.61	0	10701.2	99.904
no_measure_candidate	2552.88	15725.1	3002.68	2147.83	4520.11	3078.44	2455.2	0	10240.8	99.8951
