kernel	partition	workers	runs	repeats	mean_us	stddev_us	sample_cv_pct	min_us	max_us	median_us	p90_us	p95_us	process_cpu_mean_us	gmacs	repeat_mean_stddev_us	repeat_mean_cv_pct	mismatches	affinity_ok	raw_per_run_path
m4n16	output_channel	4	100	5	16373.267088	962.853236	5.880642	14962.233000	23319.400000	16418.039500	16531.627900	17765.176250	64189.067262	14.409439	146.131519	0.892501	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w4.tsv
m4n16	spatial	1	100	5	31203.087682	502.196638	1.609445	30950.381000	36975.397000	31125.841500	31235.207600	31310.496200	31201.055118	7.561098	23.425491	0.075074	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_spatial_w1.tsv
m4n16	spatial	2	100	5	16164.782488	273.516753	1.692053	15966.280000	19263.895000	16115.322500	16286.924600	16377.120000	32262.135736	14.595285	9.603497	0.059410	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_spatial_w2.tsv
m4n16	spatial	3	100	5	11109.072122	281.906743	2.537626	10879.356000	14467.349000	11053.628500	11288.693900	11383.967900	33124.842166	21.237561	20.543382	0.184924	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_spatial_w3.tsv
m4n16	spatial	4	100	5	9600.702940	833.503778	8.681695	8849.545000	14972.813000	9403.863000	9617.093400	11487.107500	37088.549236	24.574201	38.150056	0.397367	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_spatial_w4.tsv
m8n16	output_channel	1	100	5	23892.736994	352.751449	1.476396	23784.910000	27266.028000	23837.680500	23918.944600	23976.796800	23892.745098	9.874532	11.079620	0.046372	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m8n16_output_channel_w1.tsv
m8n16	output_channel	2	100	5	15639.851522	352.941648	2.256682	14040.228000	18365.688000	15711.473000	15784.136600	15806.976900	31195.047212	15.085156	32.412918	0.207246	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m8n16_output_channel_w2.tsv
m8n16	output_channel	3	100	5	12979.253486	375.193965	2.890721	11584.369000	17371.970000	12981.779500	13028.684300	13044.248600	34799.613092	18.177440	19.170916	0.147704	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m8n16_output_channel_w3.tsv
m8n16	output_channel	4	100	5	10945.679464	1050.225330	9.594885	9789.018000	16431.961000	10705.090000	11884.193600	13497.189350	41753.623074	21.554587	149.006969	1.361331	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m8n16_output_channel_w4.tsv
m8n16	spatial	1	100	5	23868.905730	367.257314	1.538643	23747.656000	27267.065000	23813.093500	23881.215700	23945.740350	23871.649766	9.884391	20.751234	0.086938	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m8n16_spatial_w1.tsv
m8n16	spatial	2	100	5	12369.319542	274.466978	2.218934	12167.665000	15732.743000	12302.187000	12581.306800	12767.052200	24659.112102	19.073774	27.641853	0.223471	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m8n16_spatial_w2.tsv
m8n16	spatial	3	100	5	8608.436184	243.007197	2.822896	8365.418000	11473.783000	8554.440500	8818.435200	8889.790300	25593.104312	27.406790	17.213995	0.199967	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m8n16_spatial_w3.tsv
m8n16	spatial	4	100	5	7064.936314	880.496200	12.462904	6506.400000	12546.377000	6884.090500	6968.021000	8715.429400	27044.575044	33.394441	88.247268	1.249088	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m8n16_spatial_w4.tsv
