kernel	partition	workers	repeat	repeat_mean_us	repeat_process_cpu_mean_us	output_hash64	raw_per_run_path
m12n16	output_channel	1	0	22221.922620	22223.372350	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w1.tsv
m12n16	output_channel	1	1	22221.254100	22223.220310	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w1.tsv
m12n16	output_channel	1	2	23224.867710	23145.792340	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w1.tsv
m12n16	output_channel	1	3	23233.028910	23239.405390	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w1.tsv
m12n16	output_channel	1	4	22362.633810	22367.603630	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w1.tsv
m12n16	output_channel	2	0	14614.781240	29127.436100	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w2.tsv
m12n16	output_channel	2	1	14755.953760	29430.185280	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w2.tsv
m12n16	output_channel	2	2	14691.438140	29326.514180	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w2.tsv
m12n16	output_channel	2	3	14780.040890	29475.726930	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w2.tsv
m12n16	output_channel	2	4	14779.084260	29471.774470	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w2.tsv
m12n16	output_channel	3	0	12012.463550	32287.473520	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w3.tsv
m12n16	output_channel	3	1	12047.119400	32325.684840	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w3.tsv
m12n16	output_channel	3	2	12066.373830	32409.593620	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w3.tsv
m12n16	output_channel	3	3	12051.441210	32353.313670	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w3.tsv
m12n16	output_channel	3	4	12103.026070	32437.056490	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w3.tsv
m12n16	output_channel	4	0	10096.556180	39062.160040	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w4.tsv
m12n16	output_channel	4	1	10086.956120	39125.413280	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w4.tsv
m12n16	output_channel	4	2	10655.008380	39164.688110	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w4.tsv
