needed	path	soname	status
liby26_k1x_int8_executor.so.1,libopencv_highgui.so.413,libopencv_videoio.so.413,libopencv_imgcodecs.so.413,libopencv_imgproc.so.413,libopencv_core.so.413,libstdc++.so.6,libm.so.6,libgcc_s.so.1,libc.so.6	bin/y26_k1x_demo	executable	audited
liby26_k1x_int8_executor.so.1,libstdc++.so.6,libm.so.6,libgcc_s.so.1,libc.so.6	bin/y26_k1x_healthcheck	executable	audited
liby26_k1x_int8_executor.so.1,libstdc++.so.6,libm.so.6,libgcc_s.so.1,libc.so.6	bin/yolo26_k1x_int8	executable	audited
libstdc++.so.6,libm.so.6,libgcc_s.so.1,libc.so.6,ld-linux-riscv64-lp64d.so.1	lib/liby26_k1x_int8_executor.so	liby26_k1x_int8_executor.so.1	audited
libstdc++.so.6,libm.so.6,libgcc_s.so.1,libc.so.6,ld-linux-riscv64-lp64d.so.1	lib/liby26_k1x_int8_executor.so.0.9.1	liby26_k1x_int8_executor.so.1	audited
libstdc++.so.6,libm.so.6,libgcc_s.so.1,libc.so.6,ld-linux-riscv64-lp64d.so.1	lib/liby26_k1x_int8_executor.so.1	liby26_k1x_int8_executor.so.1	audited
libstdc++.so.6,libm.so.6,libgcc_s.so.1,libc.so.6	opencv/lib/libopencv_core.so.413	libopencv_core.so.413	audited
libopencv_imgcodecs.so.413,libopencv_imgproc.so.413,libopencv_core.so.413,libgtk-3.so.0,libgdk-3.so.0,libcairo.so.2,libgdk_pixbuf-2.0.so.0,libgobject-2.0.so.0,libglib-2.0.so.0,libstdc++.so.6,libm.so.6,libgcc_s.so.1,libc.so.6	opencv/lib/libopencv_highgui.so.413	libopencv_highgui.so.413	audited
libopencv_imgproc.so.413,libopencv_core.so.413,libm.so.6,libstdc++.so.6,libgcc_s.so.1,libc.so.6	opencv/lib/libopencv_imgcodecs.so.413	libopencv_imgcodecs.so.413	audited
libopencv_core.so.413,libstdc++.so.6,libm.so.6,libgcc_s.so.1,libc.so.6,ld-linux-riscv64-lp64d.so.1	opencv/lib/libopencv_imgproc.so.413	libopencv_imgproc.so.413	audited
libopencv_imgcodecs.so.413,libopencv_imgproc.so.413,libopencv_core.so.413,libgstbase-1.0.so.0,libgstreamer-1.0.so.0,libgobject-2.0.so.0,libglib-2.0.so.0,libgstapp-1.0.so.0,libgstriff-1.0.so.0,libgstpbutils-1.0.so.0,libgstvideo-1.0.so.0,libgstaudio-1.0.so.0,libstdc++.so.6,libm.so.6,libgcc_s.so.1,libc.so.6	opencv/lib/libopencv_videoio.so.413	libopencv_videoio.so.413	audited
