run	flow	effective_format	captured_frames	measured_frames	dropped_frames	drop_pct	capture_fps	processed_fps	capture_backend_drop_status
camera-demo-30s	latest-frame	1280x720@60.000 MJPG	369	146	192	52.032520	9.868152	4.814760	unknown-not-exposed-by-v4l2-opencv
final-c0-r1	sequential	1280x720@60.000 MJPG	841	811	0	0.000000	4.492602	4.499750	unknown-not-exposed-by-v4l2-opencv
final-c0-r2	sequential	1280x720@60.000 MJPG	846	816	0	0.000000	4.523384	4.529725	unknown-not-exposed-by-v4l2-opencv
final-c0-r3	sequential	1280x720@60.000 MJPG	843	813	0	0.000000	4.504578	4.510140	unknown-not-exposed-by-v4l2-opencv
final-c1-r1	latest-frame	1280x720@60.000 MJPG	1846	1153	662	35.861322	9.961153	6.395590	unknown-not-exposed-by-v4l2-opencv
final-c1-r2	latest-frame	1280x720@60.000 MJPG	1848	1155	662	35.822511	9.973390	6.408126	unknown-not-exposed-by-v4l2-opencv
final-c1-r3	latest-frame	1280x720@60.000 MJPG	1850	1155	664	35.891892	9.981308	6.405178	unknown-not-exposed-by-v4l2-opencv
final-c2-r1	latest-frame	1280x720@60.000 MJPG	1127	788	308	27.329193	5.995785	4.370437	unknown-not-exposed-by-v4l2-opencv
final-c2-r2	latest-frame	1280x720@60.000 MJPG	1127	786	310	27.506655	5.993398	4.358577	unknown-not-exposed-by-v4l2-opencv
final-c2-r3	latest-frame	1280x720@60.000 MJPG	1126	787	308	27.353464	5.991633	4.364041	unknown-not-exposed-by-v4l2-opencv
final-c3-r1	latest-frame	1280x720@60.000 MJPG	1108	634	443	39.981949	5.600819	3.514088	unknown-not-exposed-by-v4l2-opencv
final-c3-r2	latest-frame	1280x720@60.000 MJPG	1071	629	411	38.375350	5.633918	3.484293	unknown-not-exposed-by-v4l2-opencv
final-c3-r3	latest-frame	1280x720@60.000 MJPG	1067	635	401	37.582006	5.614299	3.517811	unknown-not-exposed-by-v4l2-opencv
final-c4-r1	latest-frame	1280x720@60.000 MJPG	1123	880	212	18.878005	6.008837	4.880030	unknown-not-exposed-by-v4l2-opencv
final-c4-r2	latest-frame	1280x720@60.000 MJPG	1223	878	314	25.674571	6.547723	4.871125	unknown-not-exposed-by-v4l2-opencv
final-c4-r3	latest-frame	1280x720@60.000 MJPG	1152	913	208	18.055556	6.176923	5.065560	unknown-not-exposed-by-v4l2-opencv
final-c5-r1	latest-frame	1280x720@60.000 MJPG	1836	999	806	43.899782	9.852036	5.541417	unknown-not-exposed-by-v4l2-opencv
final-c5-r2	latest-frame	1280x720@60.000 MJPG	1838	1008	799	43.471164	9.863955	5.589368	unknown-not-exposed-by-v4l2-opencv
final-c5-r3	latest-frame	1280x720@60.000 MJPG	1848	1008	809	43.777056	9.916282	5.590393	unknown-not-exposed-by-v4l2-opencv
final-c5-soak	latest-frame	1280x720@60.000 MJPG	18003	10527	7445	41.354219	9.968258	5.847586	unknown-not-exposed-by-v4l2-opencv
mode-mjpg-640x480	latest-frame	640x480@60.000 MJPG	971	402	538	55.406797	14.929991	6.678999	unknown-not-exposed-by-v4l2-opencv
mode-yuyv-640x480	latest-frame	640x480@30.000 YUYV	998	400	567	56.813627	15.376946	6.655262	unknown-not-exposed-by-v4l2-opencv
o2-gui-smoke	latest-frame	1280x720@60.000 MJPG	198	135	52	26.262626	5.952044	4.471467	unknown-not-exposed-by-v4l2-opencv
rejected-clipped-final-c2-r1	latest-frame	1280x720@60.000 MJPG	1126	807	288	25.577265	5.994694	4.475971	unknown-not-exposed-by-v4l2-opencv
release-c5-r1	latest-frame	1280x720@60.000 MJPG	1856	1065	760	40.948276	9.979939	5.909227	unknown-not-exposed-by-v4l2-opencv
release-c5-r2	latest-frame	1280x720@60.000 MJPG	1857	1066	760	40.926225	9.980086	5.910860	unknown-not-exposed-by-v4l2-opencv
release-c5-r3	latest-frame	1280x720@60.000 MJPG	1856	1069	756	40.732759	9.981217	5.930506	unknown-not-exposed-by-v4l2-opencv
release-c5-soak	latest-frame	1280x720@60.000 MJPG	18057	10679	7347	40.687822	9.997112	5.931789	unknown-not-exposed-by-v4l2-opencv
release-camera-demo-30s	latest-frame	1280x720@60.000 MJPG	367	146	190	51.771117	9.881496	4.833642	unknown-not-exposed-by-v4l2-opencv
windowfix-gui-smoke	latest-frame	1280x720@60.000 MJPG	316	163	142	44.936709	9.610852	5.370435	unknown-not-exposed-by-v4l2-opencv
aggregate-final-c0	sequential	1280x720@60.000 MJPG	2530	2440	0	0.000000	4.506850	4.513202	unknown-not-exposed-by-v4l2-opencv
aggregate-final-c1	latest-frame	1280x720@60.000 MJPG	5544	3463	1988	35.858586	9.971951	6.402964	unknown-not-exposed-by-v4l2-opencv
aggregate-final-c2	latest-frame	1280x720@60.000 MJPG	3380	2361	926	27.396450	5.993605	4.364351	unknown-not-exposed-by-v4l2-opencv
aggregate-final-c3	latest-frame	1280x720@60.000 MJPG	3246	1898	1255	38.662970	5.616138	3.505395	unknown-not-exposed-by-v4l2-opencv
aggregate-final-c4	latest-frame	1280x720@60.000 MJPG	3498	2671	734	20.983419	6.244483	4.938894	unknown-not-exposed-by-v4l2-opencv
aggregate-final-c5	latest-frame	1280x720@60.000 MJPG	5522	3015	2414	43.716045	9.877425	5.573729	unknown-not-exposed-by-v4l2-opencv
aggregate-release-c5	latest-frame	1280x720@60.000 MJPG	5569	3200	2276	40.869097	9.980414	5.916864	unknown-not-exposed-by-v4l2-opencv
