artifact	byte_identical	rebuilds	status
banana-yolo26-k1x-int8-executor-0.9.1-riscv64.tar.gz	yes	2	pass
banana-yolo26-k1x-int8-executor-0.9.1-riscv64.zip	yes	2	pass
