timestamp_utc	temp_millic	cpu0_khz	cpu4_khz
2026-07-16T19:59:06Z	67000	1600000	1600000
2026-07-16T19:59:11Z	67000	1600000	1600000
2026-07-16T19:59:16Z	69000	1600000	1600000
2026-07-16T19:59:21Z	68000	1600000	1600000
2026-07-16T19:59:26Z	69000	1600000	1600000
2026-07-16T19:59:31Z	68000	1600000	1600000
2026-07-16T19:59:36Z	68000	1600000	1600000
2026-07-16T19:59:41Z	68000	1600000	1600000
2026-07-16T19:59:46Z	67000	1600000	1600000
2026-07-16T19:59:51Z	68000	1600000	1600000
2026-07-16T19:59:56Z	68000	1600000	1600000
2026-07-16T20:00:01Z	68000	1600000	1600000
2026-07-16T20:00:06Z	69000	1600000	1600000
2026-07-16T20:00:11Z	69000	1600000	1600000
2026-07-16T20:00:17Z	69000	1600000	1600000
2026-07-16T20:00:22Z	68000	1600000	1600000
2026-07-16T20:00:27Z	69000	1600000	1600000
2026-07-16T20:00:32Z	69000	1600000	1600000
2026-07-16T20:00:37Z	69000	1600000	1600000
2026-07-16T20:00:42Z	68000	1600000	1600000
2026-07-16T20:00:47Z	68000	1600000	1600000
2026-07-16T20:00:52Z	69000	1600000	1600000
2026-07-16T20:00:57Z	71000	1600000	1600000
2026-07-16T20:01:02Z	69000	1600000	1600000
2026-07-16T20:01:07Z	69000	1600000	1600000
2026-07-16T20:01:12Z	69000	1600000	1600000
2026-07-16T20:01:17Z	69000	1600000	1600000
2026-07-16T20:01:22Z	68000	1600000	1600000
2026-07-16T20:01:27Z	69000	1600000	1600000
2026-07-16T20:01:32Z	70000	1600000	1600000
2026-07-16T20:01:37Z	69000	1600000	1600000
2026-07-16T20:01:43Z	69000	1600000	1600000
2026-07-16T20:01:48Z	70000	1600000	1600000
2026-07-16T20:01:53Z	69000	1600000	1600000
2026-07-16T20:01:58Z	68000	1600000	1600000
2026-07-16T20:02:03Z	69000	1600000	1600000
2026-07-16T20:02:08Z	70000	1600000	1600000
2026-07-16T20:02:13Z	69000	1600000	1600000
2026-07-16T20:02:18Z	69000	1600000	1600000
2026-07-16T20:02:23Z	67000	1600000	1600000
2026-07-16T20:02:28Z	69000	1600000	1600000
2026-07-16T20:02:33Z	70000	1600000	1600000
2026-07-16T20:02:38Z	69000	1600000	1600000
2026-07-16T20:02:43Z	70000	1600000	1600000
