source_run	scene_id	camera_mode	illumination_note	distance_m	distance_status	letterbox_shorter_side_bin	processed_index	measured	source_sequence	class_id	class_name	confidence	original_x1	original_y1	original_x2	original_y2	original_width	original_height	original_area	letterbox_x1	letterbox_y1	letterbox_x2	letterbox_y2	letterbox_width	letterbox_height	letterbox_area
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	459	1	775	0	person	0.265251	7.699219	2.334961	1259.330078	717.552734	1251.630859	715.217773	895188.636408	3.849609	141.167480	629.665039	498.776367	625.815430	357.608887	223797.159102
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	464	1	783	0	person	0.375328	0.000000	6.696289	1272.413086	713.191406	1272.413086	706.495117	898953.632260	0.000000	143.348145	636.206543	496.595703	636.206543	353.247559	224738.408065
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	481	1	812	0	person	0.265251	7.699219	2.334961	1272.413086	704.469727	1264.713867	702.134766	887999.574720	3.849609	141.167480	636.206543	492.234863	632.356934	351.067383	221999.893680
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	493	1	832	0	person	0.265251	3.337891	6.696289	1276.774414	704.469727	1273.436523	697.773438	888570.180397	1.668945	143.348145	638.387207	492.234863	636.718262	348.886719	222142.545099
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	500	1	844	0	person	0.265251	12.059570	6.696289	1263.691406	708.831055	1251.631836	702.134766	878814.225775	6.029785	143.348145	631.845703	494.415527	625.815918	351.067383	219703.556444
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	515	1	869	0	person	0.265251	25.143555	2.334961	1263.691406	713.191406	1238.547852	710.856445	880429.723111	12.571777	141.167480	631.845703	496.595703	619.273926	355.428223	220107.430778
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	523	1	883	0	person	0.265251	0.000000	6.696289	1263.691406	713.191406	1263.691406	706.495117	892791.808147	0.000000	143.348145	631.845703	496.595703	631.845703	353.247559	223197.952037
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	545	1	920	0	person	0.265251	12.059570	6.696289	1268.052734	704.469727	1255.993164	697.773438	876398.667564	6.029785	143.348145	634.026367	492.234863	627.996582	348.886719	219099.666891
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	568	1	958	0	person	0.265251	7.699219	2.334961	1263.691406	713.191406	1255.992188	710.856445	892830.141747	3.849609	141.167480	631.845703	496.595703	627.996094	355.428223	223207.535437
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	570	1	962	0	person	0.265251	12.059570	6.696289	1268.052734	713.191406	1255.993164	706.495117	887353.037631	6.029785	143.348145	634.026367	496.595703	627.996582	353.247559	221838.259408
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	578	1	975	0	person	0.265251	0.000000	2.334961	1272.413086	713.191406	1272.413086	710.856445	904503.043239	0.000000	141.167480	636.206543	496.595703	636.206543	355.428223	226125.760810
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	595	1	1004	0	person	0.265251	0.000000	6.696289	1263.691406	704.469727	1263.691406	697.773438	881770.296478	0.000000	143.348145	631.845703	492.234863	631.845703	348.886719	220442.574120
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	629	1	1062	0	person	0.265251	16.420898	6.696289	1259.330078	713.191406	1242.909180	706.495117	878109.266557	8.210449	143.348145	629.665039	496.595703	621.454590	353.247559	219527.316639
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	637	1	1076	0	person	0.265251	7.699219	2.334961	1268.052734	713.191406	1260.353516	710.856445	895930.419954	3.849609	141.167480	634.026367	496.595703	630.176758	355.428223	223982.604989
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	640	1	1081	0	person	0.375328	7.699219	6.696289	1263.691406	713.191406	1255.992188	706.495117	887352.347694	3.849609	143.348145	631.845703	496.595703	627.996094	353.247559	221838.086924
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	660	1	1115	0	person	0.265251	7.699219	6.696289	1276.774414	708.831055	1269.075195	702.134766	891061.814821	3.849609	143.348145	638.387207	494.415527	634.537598	351.067383	222765.453705
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	661	1	1117	0	person	0.265251	7.699219	6.696289	1272.413086	713.191406	1264.713867	706.495117	893514.171807	3.849609	143.348145	636.206543	496.595703	632.356934	353.247559	223378.542952
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	673	1	1137	0	person	0.265251	12.059570	6.696289	1263.691406	717.552734	1251.631836	710.856445	889730.557734	6.029785	143.348145	631.845703	498.776367	625.815918	355.428223	222432.639434
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	679	1	1147	0	person	0.265251	12.059570	2.334961	1263.691406	713.191406	1251.631836	710.856445	889730.557734	6.029785	141.167480	631.845703	496.595703	625.815918	355.428223	222432.639434
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	693	1	1171	0	person	0.265251	12.059570	2.334961	1268.052734	713.191406	1255.993164	710.856445	892830.835942	6.029785	141.167480	634.026367	496.595703	627.996582	355.428223	223207.708986
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	706	1	1192	0	person	0.265251	12.059570	6.696289	1276.774414	704.469727	1264.714844	697.773438	882484.423981	6.029785	143.348145	638.387207	492.234863	632.357422	348.886719	220621.105995
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	775	1	1308	0	person	0.265251	12.059570	6.696289	1272.413086	713.191406	1260.353516	706.495117	890433.604719	6.029785	143.348145	636.206543	496.595703	630.176758	353.247559	222608.401180
