run	profile	flow	effective_format	measured_frames	captured_frames	dropped_frames	drop_pct	capture_fps	processed_fps	displayed_fps	recorded_frames	recording_fps	recording_mode	capture_ms_mean	capture_ms_p95	resize_letterbox_ms_mean	resize_letterbox_ms_p95	bgr_to_rgb_ms_mean	bgr_to_rgb_ms_p95	preprocess_ms_mean	preprocess_ms_p95	executor_ms_mean	executor_ms_p95	postprocess_ms_mean	postprocess_ms_p95	render_ms_mean	render_ms_p95	display_ms_mean	display_ms_p95	record_ms_mean	record_ms_p95	total_ms_mean	total_ms_p95	read_to_display_ms_mean	read_to_display_ms_p95
camera-demo-30s	low-latency	latest-frame	1280x720@60.000 MJPG	146	369	192	52.032520	9.868152	4.814760	4.814760	176	4.706807	mjpg-avi	96.477233	100.500794	12.537861	13.736996	1.177566	4.889887	13.715427	14.646732	162.662788	167.623672	0.047309	0.054592	3.408907	3.651611	17.714095	19.133616	7.925488	11.005857	206.043265	212.083574	255.996403	302.639322
final-c0-r1	compatibility	sequential	1280x720@60.000 MJPG	811	841	0	0.000000	4.492602	4.499750	0.000000	0	0.000000	off	52.492451	52.663679	5.004516	5.089530	0.543674	0.588863	5.548190	5.654433	160.356776	168.263923	0.040795	0.041250	3.318791	3.413361	0.000000	0.000000	0.000000	0.000000	221.978042	230.337875	169.483034	177.458572
final-c0-r2	compatibility	sequential	1280x720@60.000 MJPG	816	846	0	0.000000	4.523384	4.529725	0.000000	0	0.000000	off	51.617917	51.784323	4.998406	5.081080	0.544125	0.592363	5.542531	5.628589	159.753414	162.788561	0.040522	0.040792	3.334915	3.412120	0.000000	0.000000	0.000000	0.000000	220.511438	223.811090	168.890915	171.923520
final-c0-r3	compatibility	sequential	1280x720@60.000 MJPG	813	843	0	0.000000	4.504578	4.510140	0.000000	0	0.000000	off	50.955985	51.943698	4.998650	5.096628	0.542074	0.590625	5.540724	5.667578	161.305978	170.354330	0.040261	0.040750	3.411196	3.499281	0.000000	0.000000	0.000000	0.000000	221.476588	230.177098	170.517927	179.500931
final-c1-r1	low-latency	latest-frame	1280x720@60.000 MJPG	1153	1846	662	35.861322	9.961153	6.395590	0.000000	0	0.000000	off	99.938528	100.917993	5.086968	5.288589	0.558097	0.607024	5.645065	5.881581	146.649624	150.061735	0.042797	0.044375	3.503287	4.256633	0.000000	0.000000	0.000000	0.000000	156.076229	159.531870	205.573916	249.833984
final-c1-r2	low-latency	latest-frame	1280x720@60.000 MJPG	1155	1848	662	35.822511	9.973390	6.408126	0.000000	0	0.000000	off	99.783247	101.073652	5.076340	5.333936	0.555041	0.597354	5.631380	5.895184	146.358313	150.747276	0.042114	0.044333	3.558618	4.627329	0.000000	0.000000	0.000000	0.000000	155.827196	160.158034	206.148458	250.823114
final-c1-r3	low-latency	latest-frame	1280x720@60.000 MJPG	1155	1850	664	35.891892	9.981308	6.405178	0.000000	0	0.000000	off	99.588420	100.501293	5.069430	5.222068	0.550438	0.588901	5.619868	5.844540	146.486873	149.406769	0.041297	0.042636	3.471724	3.897774	0.000000	0.000000	0.000000	0.000000	155.855562	158.879425	204.923695	249.763043
final-c2-r1	low-latency-dedicated	latest-frame	1280x720@60.000 MJPG	788	1127	308	27.329193	5.995785	4.370437	4.370437	0	0.000000	off	166.283727	174.619205	8.054231	13.575292	1.250840	4.856132	9.305072	14.349636	187.808126	196.270763	0.047928	0.050778	14.522435	23.001837	15.435384	23.089709	0.000000	0.000000	227.989504	248.079243	297.750115	367.939567
final-c2-r2	low-latency-dedicated	latest-frame	1280x720@60.000 MJPG	786	1127	310	27.506655	5.993398	4.358577	4.358577	0	0.000000	off	166.707009	174.383060	8.063775	13.530301	1.420061	5.108347	9.483836	14.630439	188.453278	196.457919	0.045969	0.047834	14.275565	23.120602	15.448273	23.117664	0.000000	0.000000	228.621506	250.923601	296.205295	365.421561
final-c2-r3	low-latency-dedicated	latest-frame	1280x720@60.000 MJPG	787	1126	308	27.353464	5.991633	4.364041	4.364041	0	0.000000	off	166.020877	173.305689	8.117196	13.581912	1.252373	4.958359	9.369570	14.489120	187.637433	195.821332	0.047700	0.050767	14.581451	23.026584	15.669071	23.246629	0.000000	0.000000	228.401808	248.365283	299.087073	370.815961
