candidate	images	all_zero	constant_scores	status
B1	0	NA	NA	not-run-blocked-independent-calibration-corpus-missing
B2	0	NA	NA	not-run-blocked-independent-calibration-corpus-missing
B3	0	NA	NA	not-run-blocked-independent-calibration-corpus-missing
B4	0	NA	NA	not-run-blocked-independent-calibration-corpus-missing
B5	0	NA	NA	not-run-blocked-independent-calibration-corpus-missing
