item	accepted_identity	verified	status
result_packet_tree_sha256	ba4f23c20f91f3b5c1e41655a35fd4ee6fd17885fd5fe44623fd0ab45fb07c77	ba4f23c20f91f3b5c1e41655a35fd4ee6fd17885fd5fe44623fd0ab45fb07c77	pass
pub4_evidence_commit	515e9e915c3485ea7fa8721dae34d6847a85066b	515e9e915c3485ea7fa8721dae34d6847a85066b	pass
release_asset_count	10	10	pass
github_actions_enabled	false	false	pass
pypi_2.1.2_riscy_1	absent	HTTP-404	pass
release_wheel_sha256	635441d26458c6754627dd9595132cfd9a16d762d3ed0252f0039be668c01784	635441d26458c6754627dd9595132cfd9a16d762d3ed0252f0039be668c01784	pass
