deleted_branch_head	preserved_by	preserved_commit	status
1c4168daf354f1e3afd56105c1b9ff44a25dd91e	evidence/stage65a-pub4-closure-001	515e9e915c3485ea7fa8721dae34d6847a85066b	pass-ancestor
c1d9052ea55f10075033e03b5b0e53e99ecd60fe	evidence/stage65a-pub4-closure-001	515e9e915c3485ea7fa8721dae34d6847a85066b	pass-ancestor
dcef989d3217a89fb3d37b1bcb4d67ec2d483697	evidence/stage65a-pub4-closure-001	515e9e915c3485ea7fa8721dae34d6847a85066b	pass-ancestor
515e9e915c3485ea7fa8721dae34d6847a85066b	evidence/stage65a-pub4-closure-001	515e9e915c3485ea7fa8721dae34d6847a85066b	pass-exact
12647b4a79fe5ec9a3973515a17cece4cb83daf4	v2.1.2-riscy.1	12647b4a79fe5ec9a3973515a17cece4cb83daf4	pass-exact
