arm	images	map50_95	map50	ap_small	ap_medium	ap_large	prediction_sha256	status
H0	0	NA	NA	NA	NA	NA	NA	not-run-blocked-independent-calibration-corpus-missing
H1	0	NA	NA	NA	NA	NA	NA	not-run-blocked-independent-calibration-corpus-missing
H3	0	NA	NA	NA	NA	NA	NA	not-run-blocked-independent-calibration-corpus-missing
H5	0	NA	NA	NA	NA	NA	NA	not-run-blocked-independent-calibration-corpus-missing
H6	0	NA	NA	NA	NA	NA	NA	not-run-blocked-independent-calibration-corpus-missing
H8	0	NA	NA	NA	NA	NA	NA	not-run-blocked-independent-calibration-corpus-missing
