candidate	relative_path	bytes	sha256	status
B1	NA	NA	NA	not-generated-blocked-independent-calibration-corpus-missing
B2	NA	NA	NA	not-generated-blocked-independent-calibration-corpus-missing
B3	NA	NA	NA	not-generated-blocked-independent-calibration-corpus-missing
B4	NA	NA	NA	not-generated-blocked-independent-calibration-corpus-missing
B5	NA	NA	NA	not-generated-blocked-independent-calibration-corpus-missing
