ref	local	github	gitlab	preservation
refs/heads/main	9a33f2f770d00fd02ff8bc0f1907135e9bf47f8c	9a33f2f770d00fd02ff8bc0f1907135e9bf47f8c	9a33f2f770d00fd02ff8bc0f1907135e9bf47f8c	upstream-mirror
refs/heads/riscy/k1x-yolo26-hardening-001	1c4168daf354f1e3afd56105c1b9ff44a25dd91e	1c4168daf354f1e3afd56105c1b9ff44a25dd91e	1c4168daf354f1e3afd56105c1b9ff44a25dd91e	archive-tag-lineage
refs/heads/riscy/k1x-yolo26-hardening-release-001	12647b4a79fe5ec9a3973515a17cece4cb83daf4	12647b4a79fe5ec9a3973515a17cece4cb83daf4	12647b4a79fe5ec9a3973515a17cece4cb83daf4	release-tag
refs/heads/riscy/k1x-yolo26-stage65a-pub2-evidence-001	c1d9052ea55f10075033e03b5b0e53e99ecd60fe	c1d9052ea55f10075033e03b5b0e53e99ecd60fe	c1d9052ea55f10075033e03b5b0e53e99ecd60fe	archive-tag-lineage
refs/heads/riscy/k1x-yolo26-stage65a-pub3-evidence-001	dcef989d3217a89fb3d37b1bcb4d67ec2d483697	dcef989d3217a89fb3d37b1bcb4d67ec2d483697	dcef989d3217a89fb3d37b1bcb4d67ec2d483697	archive-tag-lineage
refs/heads/riscy/k1x-yolo26-stage65a-pub4-evidence-001	515e9e915c3485ea7fa8721dae34d6847a85066b	515e9e915c3485ea7fa8721dae34d6847a85066b	515e9e915c3485ea7fa8721dae34d6847a85066b	archive-tag-target
refs/tags/v2.1.2-riscy.1	604507c45c8eb2ff5c548d30d981203fedc61ea3	604507c45c8eb2ff5c548d30d981203fedc61ea3	604507c45c8eb2ff5c548d30d981203fedc61ea3	immutable-release
