check	exit_code	raw_receipt	stdout_sha256	stderr_sha256
focused-mypy	1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/focused-mypy/receipt.json	c517f528ecd4f755391bada3bba16290ba92f4cdfefae80bbfc813f911ae65b7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
full-xs-unit-tests	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/full-xs-unit-tests/receipt.json	85e93913d362cf4e6643b3aad245713a28c0aaefa79f0ca6f9367953ff41d4bc	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
mypy-accepted-isolated-contract	1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/mypy-accepted-isolated-contract/receipt.json	7ebbb60fd21319b11fd1f842ac03b0720380aca58f52ba831106c8a4229c2eef	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
mypy-changed	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/mypy-changed/receipt.json	8228fcc5ce46d42d01caf3cd941f4e9c5f2bcc372bb5b147a2f0572d2dd675a8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
mypy-legacy-isolated	1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/mypy-legacy-isolated/receipt.json	c5675e03299d5649d969058be629c59f1775411d1e7f0bf1b985ff3b363c8d83	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
package-verification	1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/package-verification/receipt.json	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1c1eb8483f6020785a99be9c38204c004fea3a95ef420b90099555405b53c93e
package-verification-api-corrected	1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/package-verification-api-corrected/receipt.json	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	13718709e632562252b30567ff0da7c77ef35ac8bbf35c30a74b1bfacf9fbe84
package-verification-canonical-specifier	1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/package-verification-canonical-specifier/receipt.json	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	943a8c0cf38e3e7db8f6439fdd3becd36870c1a9b47b323761d2a060442a14c9
package-verification-placeholder-bound	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/package-verification-placeholder-bound/receipt.json	6684a2974fd949b9b62f82e9638387fb58f1ff2d2d61850ec2813e15b8c69068	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
qa-pip-check	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/qa-pip-check/receipt.json	9261363b733079a641c2e4cc9bc46ffa1d8336945a87f807b6cf68847dbc9b09	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
ruff	1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/ruff/receipt.json	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1ddf043df85f8c54bc0c4197c4573eb108a678fcc1cefc8917fba42720645730
ruff-after-tool-bind	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/ruff-after-tool-bind/receipt.json	82b3e6a6c090a57601d22943bd23fca9218d1031dbe5a7b754092f9a156b4f18	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
seed-qualified-dependencies	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/seed-qualified-dependencies/receipt.json	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
seed-quality-binaries	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/seed-quality-binaries/receipt.json	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
shell-syntax	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/shell-syntax/receipt.json	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
shellcheck	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/shellcheck/receipt.json	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
source-diff-neutrality	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/source-diff-neutrality/receipt.json	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
verify-bundle-banana	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/verify-bundle-banana/receipt.json	d730c74f31d5e38c138cda3acdec7f81c73436abc545db052da8540f0fae3dbb	92ad222264e3fd8364fd43de15fbdb767222abcd6338c9e7abf39610db88a4f5
verify-bundle-xs	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/verify-bundle-xs/receipt.json	bea298f08e3a752be39de17331107e86b56e6af559dc659515aab35a7fe755f3	cc9886bd4dc3a942e2bafe9468ccbe9f4dc7d56e25558b6ea3e055f6d699c935
