check	exit_code	expected	raw_receipt	stdout_sha256	stderr_sha256
wheel-example	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/wheel-example/receipt.json	41ee7a9de8140ecc3e0f1a528a88a69213417d6defefca04e5d28902eaaa1df5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
wheel-help-xslim	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/wheel-help-xslim/receipt.json	e5ac253a49cd1d3a48cf5330c78efbe020e13349fb042b78244dba87da5f7f13	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
wheel-help-xslim-qdq-boundary-audit	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/wheel-help-xslim-qdq-boundary-audit/receipt.json	af1deb4566e6a44ffa465859fbc625309432d501da3f4c8089bcaa262b181980	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
wheel-help-xslim-spacemit-profile-check	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/wheel-help-xslim-spacemit-profile-check/receipt.json	2669fbbfe80cc70f1f35884e7ddcb2a7ea0f158c44dd54caa3dce3d5561beb8c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
wheel-help-xslim-yolo-output-check	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/wheel-help-xslim-yolo-output-check/receipt.json	a46667100b06b0c81ca5758b829da392ecf4c00811d4595fe68ec79a920cb748	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
wheel-import	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/wheel-import/receipt.json	346af1af967f10b6c82455b2e3968cce2e4ee613a3ef2ef704cb798c42ed0c0b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
wheel-install	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/wheel-install/receipt.json	5c4250f612cb0ae1e44d6ed60a8c3f42e7b1fcaad8c562e5cc5c38578f664318	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
wheel-pip-check	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/wheel-pip-check/receipt.json	9261363b733079a641c2e4cc9bc46ffa1d8336945a87f807b6cf68847dbc9b09	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
wheel-preseed	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/wheel-preseed/receipt.json	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
wheel-uninstall	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/wheel-uninstall/receipt.json	6472a3603fe7ae3a099ff150f818f567da5b5175feebe0f91d8122b478dad637	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
wheel-uninstall-verify	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/wheel-uninstall-verify/receipt.json	1cc01595698ffd1681f13843e108af58828f750353a5cf9a7f3755a5f187b1c6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
wheel-venv	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/wheel-venv/receipt.json	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
