arm	source_file	event	worker_samples	cycles_mean_per_worker	event_mean_per_worker	event_per_cycle	ipc	all_available	all_time_running	negative_value_count
control	single_selected_backend_stalls.log	backend_stalls	12	222817127.833333	103192521.583333	0.463126523	not-applicable	1	1	0
control	single_selected_branch_misses.log	branch_misses	12	222892371.083333	114705.666667	0.000514624	not-applicable	1	1	0
control	single_selected_branches.log	branches	12	223375448.000000	13078107.083333	0.058547648	not-applicable	1	1	0
control	single_selected_dtlb_read_access.log	dtlb_read_access	12	171132298.765513	0.000000	0.000000000	not-applicable	1	1	0
control	single_selected_dtlb_read_miss.log	dtlb_read_miss	12	223297780.083333	273010.750000	0.001222631	not-applicable	1	1	0
control	single_selected_dtlb_write_access.log	dtlb_write_access	12	172092171.579908	0.000000	0.000000000	not-applicable	1	1	0
control	single_selected_dtlb_write_miss.log	dtlb_write_miss	12	223522798.000000	49726.166667	0.000222466	not-applicable	1	1	0
control	single_selected_frontend_stalls.log	frontend_stalls	12	222455754.750000	5164962.500000	0.023217932	not-applicable	1	1	0
control	single_selected_instructions.log	instructions	12	222659075.166667	154692478.750000	0.694750387	0.694750387	1	1	0
control	single_selected_itlb_read_miss.log	itlb_read_miss	12	222927646.916667	4092.083333	0.000018356	not-applicable	1	1	0
control	single_selected_l1d_read_access.log	l1d_read_access	12	222607035.666667	47494984.583333	0.213357967	not-applicable	1	1	0
control	single_selected_l1d_read_miss.log	l1d_read_miss	12	222965931.916667	404578.500000	0.001814531	not-applicable	1	1	0
control	single_selected_l1d_write_access.log	l1d_write_access	12	223020173.083333	11656761.250000	0.052267744	not-applicable	1	1	0
control	single_selected_l1d_write_miss.log	l1d_write_miss	12	222952574.166667	188422.250000	0.000845123	not-applicable	1	1	0
control	single_selected_l1i_read_access.log	l1i_read_access	12	223302082.500000	98416047.333333	0.440730540	not-applicable	1	1	0
control	single_selected_l1i_read_miss.log	l1i_read_miss	12	223582068.250000	13517.500000	0.000060459	not-applicable	1	1	0
candidate	single_stem_backend_stalls.log	backend_stalls	12	238297610.833333	105504749.166667	0.442743630	not-applicable	1	1	0
candidate	single_stem_dtlb_read_miss.log	dtlb_read_miss	12	237815682.166667	268033.750000	0.001127065	not-applicable	1	1	0
candidate	single_stem_instructions.log	instructions	12	236770042.666667	170644737.916667	0.720719294	0.720719294	1	1	0
candidate	single_stem_l1d_read_access.log	l1d_read_access	12	237837618.500000	48530926.166667	0.204050673	not-applicable	1	1	0
candidate	single_stem_l1d_read_miss.log	l1d_read_miss	12	237729965.250000	404283.250000	0.001700599	not-applicable	1	1	0
candidate	single_stem_l1i_read_miss.log	l1i_read_miss	12	238430485.416667	13446.833333	0.000056397	not-applicable	1	1	0
