arm	samples	blocks	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	max_us	process_cpu_mean_us	voluntary_cs_mean	involuntary_cs_mean	input_mean_us	core_mean_us	dense_mean_us	depthwise_mean_us	attention_mean_us	lut_mean_us	concat_mean_us	transform_mean_us	head_mean_us	output_hash_count	output_hash	cpu4_7_ime_count
A	500	5	151035.618000	1084.444346	0.718005700	150958.000000	151802.100000	152718.100000	155006.930000	159898.000000	746044.960000	0.092000	2.898000	2303.995680	19493.885400	69848.858000	15783.593800	20808.550200	7549.563160	3940.932380	2535.967620	8675.322180	1	0xd43f5e018b415631	0
B	500	5	153167.330000	2627.183162	1.715237291	152425.500000	155204.900000	157303.300000	167389.530000	171810.000000	759666.508000	0.076000	3.240000	2313.160740	19517.287000	72093.988200	15816.238600	20558.692800	7570.672220	3950.704540	2539.408600	8713.647880	1	0xd43f5e018b415631	0
