arm	operation_index	M	N	K	source_file	event	worker_samples	cycles_mean_per_worker	event_mean_per_worker	event_per_cycle	all_available	all_time_running
control	206	400	80	256	shapes_itlb_read_miss.log	itlb_read_miss	4	1359514.250000	102.250000	0.000075211	1	1
control	206	400	80	256	shapes_l1d_read_access.log	l1d_read_access	4	1328257.000000	190313.250000	0.143280442	1	1
control	206	400	80	256	shapes_l1d_read_miss.log	l1d_read_miss	4	1322159.250000	5737.500000	0.004339492	1	1
control	206	400	80	256	shapes_l1i_read_access.log	l1i_read_access	4	1325443.500000	375267.000000	0.283125610	1	1
control	206	400	80	256	shapes_l1i_read_miss.log	l1i_read_miss	4	1405414.500000	427.750000	0.000304359	1	1
candidate	5	25600	32	32	shapes_backend_stalls.log	backend_stalls	4	15139588.250000	7339823.250000	0.484809965	1	1
candidate	5	25600	32	32	shapes_dtlb_read_miss.log	dtlb_read_miss	4	15088679.500000	3051.250000	0.000202221	1	1
candidate	5	25600	32	32	shapes_dtlb_write_miss.log	dtlb_write_miss	4	15236154.500000	1385.000000	0.000090902	1	1
candidate	5	25600	32	32	shapes_frontend_stalls.log	frontend_stalls	4	15172721.500000	97698.250000	0.006439072	1	1
candidate	5	25600	32	32	shapes_instructions.log	instructions	4	15166259.250000	10552404.750000	0.695781641	1	1
candidate	5	25600	32	32	shapes_itlb_read_miss.log	itlb_read_miss	4	15192517.750000	103.750000	0.000006829	1	1
candidate	5	25600	32	32	shapes_l1d_read_access.log	l1d_read_access	4	15036596.750000	2689140.000000	0.178839670	1	1
candidate	5	25600	32	32	shapes_l1d_read_miss.log	l1d_read_miss	4	15133445.250000	34204.750000	0.002260209	1	1
candidate	5	25600	32	32	shapes_l1i_read_access.log	l1i_read_access	4	15042392.250000	6572333.250000	0.436920746	1	1
candidate	5	25600	32	32	shapes_l1i_read_miss.log	l1i_read_miss	4	15200426.000000	412.000000	0.000027105	1	1
candidate	12	25600	64	48	shapes_backend_stalls.log	backend_stalls	4	38674399.000000	22812043.000000	0.589848675	1	1
candidate	12	25600	64	48	shapes_dtlb_read_miss.log	dtlb_read_miss	4	38668717.250000	44961.250000	0.001162729	1	1
candidate	12	25600	64	48	shapes_dtlb_write_miss.log	dtlb_write_miss	4	38689936.500000	11976.000000	0.000309538	1	1
candidate	12	25600	64	48	shapes_frontend_stalls.log	frontend_stalls	4	38497312.500000	200110.250000	0.005198032	1	1
candidate	12	25600	64	48	shapes_instructions.log	instructions	4	38544592.000000	21663066.750000	0.562026101	1	1
candidate	12	25600	64	48	shapes_itlb_read_miss.log	itlb_read_miss	4	38476681.250000	119.250000	0.000003099	1	1
candidate	12	25600	64	48	shapes_l1d_read_access.log	l1d_read_access	4	38532985.250000	7959197.000000	0.206555421	1	1
candidate	12	25600	64	48	shapes_l1d_read_miss.log	l1d_read_miss	4	38718152.000000	151326.000000	0.003908399	1	1
candidate	12	25600	64	48	shapes_l1i_read_access.log	l1i_read_access	4	38620620.750000	13764047.750000	0.356391158	1	1
candidate	12	25600	64	48	shapes_l1i_read_miss.log	l1i_read_miss	4	38469194.000000	475.750000	0.000012367	1	1
candidate	124	6400	64	96	shapes_backend_stalls.log	backend_stalls	4	10522948.250000	6021840.500000	0.572257922	1	1
candidate	124	6400	64	96	shapes_dtlb_read_miss.log	dtlb_read_miss	4	10800473.250000	40423.250000	0.003742730	1	1
candidate	124	6400	64	96	shapes_dtlb_write_miss.log	dtlb_write_miss	4	10899547.500000	5039.250000	0.000462336	1	1
candidate	124	6400	64	96	shapes_frontend_stalls.log	frontend_stalls	4	10871072.500000	78617.500000	0.007231807	1	1
candidate	124	6400	64	96	shapes_instructions.log	instructions	4	10808728.750000	5901034.500000	0.545950836	1	1
candidate	124	6400	64	96	shapes_itlb_read_miss.log	itlb_read_miss	4	10738715.500000	100.750000	0.000009382	1	1
candidate	124	6400	64	96	shapes_l1d_read_access.log	l1d_read_access	4	10687398.000000	1645301.250000	0.153947785	1	1
candidate	124	6400	64	96	shapes_l1d_read_miss.log	l1d_read_miss	4	11257289.750000	32297.500000	0.002869030	1	1
candidate	124	6400	64	96	shapes_l1i_read_access.log	l1i_read_access	4	11275674.000000	3652817.500000	0.323955579	1	1
candidate	124	6400	64	96	shapes_l1i_read_miss.log	l1i_read_miss	4	10898687.750000	415.250000	0.000038101	1	1
candidate	133	6400	80	64	shapes_backend_stalls.log	backend_stalls	4	9960706.750000	4698634.500000	0.471716979	1	1
candidate	133	6400	80	64	shapes_dtlb_read_miss.log	dtlb_read_miss	4	9798692.250000	25564.500000	0.002608971	1	1
candidate	133	6400	80	64	shapes_dtlb_write_miss.log	dtlb_write_miss	4	10062303.750000	6546.750000	0.000650621	1	1
candidate	133	6400	80	64	shapes_frontend_stalls.log	frontend_stalls	4	10036948.250000	81128.000000	0.008082935	1	1
candidate	133	6400	80	64	shapes_instructions.log	instructions	4	9907858.250000	6985668.500000	0.705063428	1	1
candidate	133	6400	80	64	shapes_itlb_read_miss.log	itlb_read_miss	4	9993558.250000	97.250000	0.000009731	1	1
candidate	133	6400	80	64	shapes_l1d_read_access.log	l1d_read_access	4	9870395.000000	1869140.000000	0.189368308	1	1
candidate	133	6400	80	64	shapes_l1d_read_miss.log	l1d_read_miss	4	9797375.250000	12497.750000	0.001275622	1	1
candidate	133	6400	80	64	shapes_l1i_read_access.log	l1i_read_access	4	9787620.000000	4328124.000000	0.442203927	1	1
candidate	133	6400	80	64	shapes_l1i_read_miss.log	l1i_read_miss	4	9978626.500000	414.750000	0.000041564	1	1
candidate	144	6400	80	80	shapes_backend_stalls.log	backend_stalls	4	11277822.500000	5827779.500000	0.516746872	1	1
candidate	144	6400	80	80	shapes_dtlb_read_miss.log	dtlb_read_miss	4	11136308.500000	37469.000000	0.003364580	1	1
candidate	144	6400	80	80	shapes_dtlb_write_miss.log	dtlb_write_miss	4	11369603.750000	6381.250000	0.000561255	1	1
candidate	144	6400	80	80	shapes_frontend_stalls.log	frontend_stalls	4	11523580.000000	92706.500000	0.008044939	1	1
candidate	144	6400	80	80	shapes_instructions.log	instructions	4	11398901.250000	7183237.500000	0.630169289	1	1
candidate	144	6400	80	80	shapes_itlb_read_miss.log	itlb_read_miss	4	11402029.250000	108.250000	0.000009494	1	1
candidate	144	6400	80	80	shapes_l1d_read_access.log	l1d_read_access	4	11268570.750000	1962797.250000	0.174183336	1	1
candidate	144	6400	80	80	shapes_l1d_read_miss.log	l1d_read_miss	4	11094036.500000	23320.250000	0.002102053	1	1
candidate	144	6400	80	80	shapes_l1i_read_access.log	l1i_read_access	4	11154982.750000	4450632.500000	0.398981567	1	1
candidate	144	6400	80	80	shapes_l1i_read_miss.log	l1i_read_miss	4	11362048.000000	406.750000	0.000035799	1	1
candidate	161	1600	16	1152	shapes_backend_stalls.log	backend_stalls	4	10279081.250000	5701912.500000	0.554710325	1	1
candidate	161	1600	16	1152	shapes_dtlb_read_miss.log	dtlb_read_miss	4	10267965.250000	25201.000000	0.002454332	1	1
candidate	161	1600	16	1152	shapes_dtlb_write_miss.log	dtlb_write_miss	4	10194184.250000	1096.250000	0.000107537	1	1
candidate	161	1600	16	1152	shapes_frontend_stalls.log	frontend_stalls	4	10344379.750000	65378.000000	0.006320147	1	1
candidate	161	1600	16	1152	shapes_instructions.log	instructions	4	10259309.500000	6301660.500000	0.614238268	1	1
candidate	161	1600	16	1152	shapes_itlb_read_miss.log	itlb_read_miss	4	10248328.250000	104.250000	0.000010172	1	1
candidate	161	1600	16	1152	shapes_l1d_read_access.log	l1d_read_access	4	10146206.000000	1541226.500000	0.151901755	1	1
candidate	161	1600	16	1152	shapes_l1d_read_miss.log	l1d_read_miss	4	10278568.500000	34942.250000	0.003399525	1	1
candidate	161	1600	16	1152	shapes_l1i_read_access.log	l1i_read_access	4	10203479.000000	3939400.750000	0.386084075	1	1
candidate	161	1600	16	1152	shapes_l1i_read_miss.log	l1i_read_miss	4	10226946.500000	453.250000	0.000044319	1	1
candidate	201	400	16	2304	shapes_backend_stalls.log	backend_stalls	4	4782091.500000	2376101.000000	0.496874851	1	1
candidate	201	400	16	2304	shapes_dtlb_read_miss.log	dtlb_read_miss	4	4762641.500000	9909.750000	0.002080726	1	1
candidate	201	400	16	2304	shapes_dtlb_write_miss.log	dtlb_write_miss	4	4773072.500000	557.250000	0.000116749	1	1
candidate	201	400	16	2304	shapes_frontend_stalls.log	frontend_stalls	4	4847506.750000	49527.250000	0.010217056	1	1
candidate	201	400	16	2304	shapes_instructions.log	instructions	4	4750598.500000	3319264.250000	0.698704437	1	1
candidate	201	400	16	2304	shapes_itlb_read_miss.log	itlb_read_miss	4	4773171.250000	103.000000	0.000021579	1	1
candidate	201	400	16	2304	shapes_l1d_read_access.log	l1d_read_access	4	4703155.750000	797592.500000	0.169586665	1	1
candidate	201	400	16	2304	shapes_l1d_read_miss.log	l1d_read_miss	4	4872987.750000	8359.500000	0.001715477	1	1
candidate	201	400	16	2304	shapes_l1i_read_access.log	l1i_read_access	4	4782723.500000	2141687.000000	0.447796533	1	1
candidate	201	400	16	2304	shapes_l1i_read_miss.log	l1i_read_miss	4	4767052.000000	415.000000	0.000087056	1	1
candidate	206	400	80	256	shapes_backend_stalls.log	backend_stalls	4	1324685.250000	791997.000000	0.597875609	1	1
candidate	206	400	80	256	shapes_dtlb_read_miss.log	dtlb_read_miss	4	1350135.750000	6409.750000	0.004747486	1	1
candidate	206	400	80	256	shapes_dtlb_write_miss.log	dtlb_write_miss	4	1340844.750000	588.250000	0.000438716	1	1
candidate	206	400	80	256	shapes_frontend_stalls.log	frontend_stalls	4	1345071.000000	14782.000000	0.010989754	1	1
candidate	206	400	80	256	shapes_instructions.log	instructions	4	1307684.250000	606410.000000	0.463728152	1	1
candidate	206	400	80	256	shapes_itlb_read_miss.log	itlb_read_miss	4	1415365.000000	93.000000	0.000065707	1	1
candidate	206	400	80	256	shapes_l1d_read_access.log	l1d_read_access	4	1323946.000000	190365.500000	0.143786454	1	1
candidate	206	400	80	256	shapes_l1d_read_miss.log	l1d_read_miss	4	1345886.000000	5653.000000	0.004200207	1	1
candidate	206	400	80	256	shapes_l1i_read_access.log	l1i_read_access	4	1341033.500000	369748.250000	0.275718877	1	1
candidate	206	400	80	256	shapes_l1i_read_miss.log	l1i_read_miss	4	1398931.250000	409.500000	0.000292723	1	1
