phase	evidence	status
before	/data/ncnn-logs/ai-team/2026-07-15/2026-07-15_13-23-05__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE56-BARE-METAL-SYSTEM-ISOLATION-X60-HPM-FUSED-DENSE-RESIDUAL-CEILING-STORAGE-REBOOT-AND-DUAL-REMOTE-FREEZE-GATE-001__stage56-final-system-source-ceiling/board-system-inventory/irq-affinity.stdout
O2	/data/ncnn-logs/ai-team/2026-07-15/2026-07-15_13-23-05__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE56-BARE-METAL-SYSTEM-ISOLATION-X60-HPM-FUSED-DENSE-RESIDUAL-CEILING-STORAGE-REBOOT-AND-DUAL-REMOTE-FREEZE-GATE-001__stage56-final-system-source-ceiling/runtime-o2/O2-irq-after.tsv
restored		verified
