surface	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	max_us	process_cpu_mean_us	voluntary_cs_mean	involuntary_cs_mean	output_hash	cpu4_7_ime_count
O0	500	149358.450000	2334.942466	1.563315	148695.500000	151410.300000	154125.700000	159786.700000	167561.690000	168405.000000	738023.102000	0.184000	4.582000	0xd43f5e018b415631	0
O1	500	148633.700000	2029.305874	1.365307	147988.500000	150734.500000	152600.250000	157777.540000	162734.587000	163277.000000	732731.190000	0.134000	1.770000	0xd43f5e018b415631	0
O2	500	148176.206000	534.679507	0.360840	148036.500000	148855.200000	149239.550000	149758.170000	151000.701000	151101.000000	731801.894000	0.160000	1.586000	0xd43f5e018b415631	0
O3	500	148156.410000	505.521277	0.341208	148047.000000	148838.000000	149167.300000	149711.020000	150584.054000	150611.000000	731988.152000	0.128000	1.688000	0xd43f5e018b415631	0
O6_FIFO10	500	155511.962000	17914.283027	11.519553	147983.500000	196912.500000	198047.200000	200558.860000	201529.212000	201635.000000	729542.794000	0.046000	0.780000	0xd43f5e018b415631	0
