arm	samples	blocks	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	max_us	process_cpu_mean_us	voluntary_cs_mean	involuntary_cs_mean	input_mean_us	core_mean_us	dense_mean_us	depthwise_mean_us	attention_mean_us	lut_mean_us	concat_mean_us	transform_mean_us	head_mean_us	output_hash_count	output_hash	cpu4_7_ime_count
A	500	5	151660.600000	2428.642959	1.601367104	151118.500000	153397.300000	156369.300000	163265.530000	170188.000000	749011.798000	0.094000	2.638000	2297.657460	19656.454600	70130.718800	15818.153200	20925.419000	7577.576440	3945.330180	2541.499420	8670.157860	1	0xd43f5e018b415631	0
B	500	5	146742.900000	1018.796222	0.694272924	146522.000000	147919.100000	149213.750000	150207.930000	151506.000000	727023.592000	0.048000	1.482000	2261.693280	19576.802400	71404.853400	15772.028000	20733.360600	7537.731380	3929.806660	2534.195360	2901.457240	1	0xd43f5e018b415631	0
