option	value
CONFIG_NO_HZ_FULL	# CONFIG_NO_HZ_FULL is not set
CONFIG_RCU_NOCB_CPU	unavailable
CONFIG_CPUSETS	CONFIG_CPUSETS=y
CONFIG_CGROUPS	CONFIG_CGROUPS=y
CONFIG_PERF_EVENTS	CONFIG_PERF_EVENTS=y
