arm	samples	blocks	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	max_us	process_cpu_mean_us	voluntary_cs_mean	involuntary_cs_mean	input_mean_us	core_mean_us	dense_mean_us	depthwise_mean_us	attention_mean_us	lut_mean_us	concat_mean_us	transform_mean_us	head_mean_us	output_hash_count	output_hash	cpu4_7_ime_count
A	500	5	151766.860000	2179.231563	1.435907393	151301.500000	153389.400000	155935.700000	161521.810000	165951.000000	749152.924000	0.082000	2.604000	2302.146900	19627.503400	70231.347800	15828.763800	20957.213800	7565.540980	3955.553640	2541.107400	8664.514100	1	0xd43f5e018b415631	0
B	500	5	151048.160000	878.682656	0.581723509	151012.000000	151846.700000	153010.300000	153898.190000	154607.000000	746254.370000	0.078000	1.544000	2298.213060	19522.427800	69841.520000	15784.308800	20840.889800	7530.470700	3943.630140	2539.871920	8655.265300	1	0xd43f5e018b415631	0
