surface	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	max_us	process_cpu_mean_us	voluntary_cs_mean	involuntary_cs_mean	output_hash	cpu4_7_ime_count
stage55_compatibility_reproduction	500	161676.164000	1525.204464	0.943370	161434.000000	162574.600000	163945.000000	166443.020000	177186.526000	184934.000000	566525.776000	1210.464000	4.456000	0xd43f5e018b415631	0
stage55_frame_gated_reproduction	500	149285.646000	2222.029860	1.488442	148598.000000	151489.900000	153605.450000	159012.020000	164431.604000	166230.000000	737930.188000	0.168000	3.770000	0xd43f5e018b415631	0
stage55_prechange_10000_soak	10000	148720.129100	1862.297138	1.252216	148161.000000	150562.500000	151618.050000	157888.150000	164266.013000	178352.000000	734343.081600	0.154200	3.443800	0xd43f5e018b415631	0
matched_b120_ort_500	500	459954.787608	4107.454711	0.893013	459292.599500	462220.333400	463463.866350	479577.220320	487681.301608	488179.108000	1839147.570966	0.000000	0.000000		0
