arm	operation_index	M	N	K	source_file	event	worker_samples	cycles_mean_per_worker	event_mean_per_worker	event_per_cycle	all_available	all_time_running
candidate	124	6400	64	96	shapes_backend_stalls.log	backend_stalls	4	10756341.750000	6291519.250000	0.584912547	1	1
candidate	124	6400	64	96	shapes_dtlb_read_miss.log	dtlb_read_miss	4	10885220.250000	40273.000000	0.003699787	1	1
candidate	124	6400	64	96	shapes_dtlb_write_miss.log	dtlb_write_miss	4	11086401.500000	5102.750000	0.000460271	1	1
candidate	124	6400	64	96	shapes_frontend_stalls.log	frontend_stalls	4	10917088.500000	84145.750000	0.007707710	1	1
candidate	124	6400	64	96	shapes_instructions.log	instructions	4	10908875.000000	5892946.500000	0.540197454	1	1
candidate	124	6400	64	96	shapes_itlb_read_miss.log	itlb_read_miss	4	10943130.750000	94.500000	0.000008636	1	1
candidate	124	6400	64	96	shapes_l1d_read_access.log	l1d_read_access	4	10792799.000000	1645301.750000	0.152444398	1	1
candidate	124	6400	64	96	shapes_l1d_read_miss.log	l1d_read_miss	4	10999419.500000	31668.500000	0.002879106	1	1
candidate	124	6400	64	96	shapes_l1i_read_access.log	l1i_read_access	4	10685850.000000	3655116.750000	0.342052036	1	1
candidate	124	6400	64	96	shapes_l1i_read_miss.log	l1i_read_miss	4	11009330.500000	416.250000	0.000037809	1	1
candidate	133	6400	80	64	shapes_backend_stalls.log	backend_stalls	4	10089867.250000	4711793.000000	0.466982655	1	1
candidate	133	6400	80	64	shapes_dtlb_read_miss.log	dtlb_read_miss	4	9965183.250000	24691.500000	0.002477777	1	1
candidate	133	6400	80	64	shapes_dtlb_write_miss.log	dtlb_write_miss	4	9950750.500000	6687.750000	0.000672085	1	1
candidate	133	6400	80	64	shapes_frontend_stalls.log	frontend_stalls	4	9813497.000000	73444.500000	0.007484029	1	1
candidate	133	6400	80	64	shapes_instructions.log	instructions	4	10061281.000000	6994886.750000	0.695228247	1	1
candidate	133	6400	80	64	shapes_itlb_read_miss.log	itlb_read_miss	4	10054641.750000	104.000000	0.000010343	1	1
