repeat	run	trace_begin_s	irq_count	irq_duration_us	softirq_count	softirq_duration_us	workqueue_count	workqueue_duration_us	sched_switch_count	block_issue_count	block_complete_count	frequency_event_count	irq_4_count	irq_102_count	irq_7_count	irq_108_count	irq_11_count	trace_end_s	trace_duration_us	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash	irq_86_count
0	280	9869.860317	2505	25449.999957345426	12	170.99999786296394	3	58.99999996472616	10	0	0	0	6	1727	541	11	220	9870.03706	176742.99999998766	176601	3687.62	19573.1	77385.6	23544.8	29274.4	7656.96	3935.63	2543.68	8891.94	879415	1	2	1	0	0xd43f5e018b415631
0	3444	10353.210093	2318	26766.000022689695	142	1082.999999198364	3	76.99999878241215	10	0	0	0	5	1842	242	11	216	10353.385971	175878.00000001153	175701	2289.8	19852.8	87603.2	16073.9	22401.2	10870.5	4849.85	2753.35	8886.55	862785	0	3	1	0	0xd43f5e018b415631	2
0	3447	10353.728368	2452	24666.000032084412	8	133.00000318849925	1	8.999999408842996	6	0	0	0	4	1695	522	11	220	10353.904963	176595.00000081607	176447	4083.16	19509.8	76921.2	23629.5	28954.2	7617.24	3871.87	3004.81	8747.42	871261	0	1	1	0	0xd43f5e018b415631
0	4236	10474.20368	2638	28133.999945566757	54	380.000001314329	0	0.0	6	0	0	0	5	1847	554	11	220	10474.379612	175932.00000010256	175747	2194.88	19554.5	85275.5	16383.4	25667.6	10808.5	4334.88	2644.55	8773.75	863722	1	0	1	0	0xd43f5e018b415631	1
0	5029	10595.347585	2584	27355.999944120413	14	204.00000357767567	2	25.99999788799323	10	0	0	0	5	1779	570	10	220	10595.52446	176875.00000101863	176724	2281	19717.1	80271.4	17814.2	30192.4	10935.2	3953.37	2656.76	8794	871649	1	2	1	0	0xd43f5e018b415631
0	5031	10595.696622	2537	28008.999997837236	9	115.00000073283445	2	31.999999919207767	10	0	0	0	6	1740	561	10	220	10595.872188	175565.99999988975	175424	2267.09	19499.5	87584.3	16254.6	21938.1	10629.2	5463.19	2848.89	8833.25	866153	2	1	1	0	0xd43f5e018b415631
0	5820	10716.194998	2635	28473.000034864526	12	210.0000019709114	3	68.00000119255856	10	0	0	0	4	1847	552	11	221	10716.373774	178775.99999883387	178594	2277.54	19623.2	84805.9	16348.6	28609.2	11028.3	4298.29	2713.55	8777.84	882345	0	3	1	0	0xd43f5e018b415631
0	7407	10958.775545	2554	26004.999956057873	10	178.00000023271423	3	45.999997382750735	10	0	0	0	5	1750	568	11	220	10958.95131	175764.99999995576	175626	2438.26	19553.6	78057.2	20256.8	30494.6	9394.85	3930.49	2634.55	8759.42	874760	1	2	1	0	0xd43f5e018b415631
0	8991	11200.76607	2498	25775.99991855095	20	187.00000691751484	1	7.000000550760888	9	0	0	0	5	1723	540	10	220	11200.94189	175820.00000038533	175619	2192.58	19671.1	78792.3	19744.1	30714.3	9256.8	3910.91	2503.38	8729.17	862352	0	1	1	0	0xd43f5e018b415631
0	9780	11321.257539	2534	27868.00006106205	16	349.000001733657	1	18.999999156221747	6	0	0	0	4	1735	562	11	220	11321.433522	175982.999999178	175833	2198.01	19810.7	87971.4	16249.4	22355.2	10774.7	4783.33	2773.24	8810.48	877849	0	1	1	0	0xd43f5e018b415631	2
