surface	map50_95	prediction_json	prediction_sha256	map50	map75	ap_small	ap_medium	ap_large	ar_100	mean_precision_grid	mean_recall_grid
FP32_reference	0.401438855549
legacy_semantic_int8	0.372453424641694	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_18-39-35__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE46-RT205-SPACEMIT-EP-INT8-FULL-REVALIDATION-PLUGIN-COCO-GATE-001__stage46-rt205/artifacts/accuracy/host_int8_disable.json	f9867508e0ed1872ad068ebb6e5f917d22d5984663de060b5d704a1d8ae67259	0.5262696986065122	0.40605593817298413	0.18111623895834822	0.4153421698366319	0.5473447854587796	0.5943926210734184	0.372453424641694	0.5943926210734184
k1x_int8_v1	0.3707408944391919	/data/ncnn-logs/ai-team/2026-07-15/2026-07-15_13-23-05__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE56-BARE-METAL-SYSTEM-ISOLATION-X60-HPM-FUSED-DENSE-RESIDUAL-CEILING-STORAGE-REBOOT-AND-DUAL-REMOTE-FREEZE-GATE-001__stage56-final-system-source-ceiling/final-coco/stage56_final5000.json	cda5c8c7a46d61d9c90f6292001eea190cb8f6617efe647a33dc6134dd57ccda	0.5258465300872381	0.4033156042360903	0.18397294626227842	0.4142627352606523	0.5440433811804918	0.593621370936095	0.3707408944391919	0.593621370936095
