arm	samples	blocks	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	max_us	process_cpu_mean_us	voluntary_cs_mean	involuntary_cs_mean	input_mean_us	core_mean_us	dense_mean_us	depthwise_mean_us	attention_mean_us	lut_mean_us	concat_mean_us	transform_mean_us	head_mean_us	output_hash_count	output_hash	cpu4_7_ime_count
A	500	5	151292.050000	977.715533	0.646243826	151233.000000	152074.400000	153480.650000	154670.490000	155860.000000	746798.542000	0.086000	2.174000	2295.247260	19552.544400	69968.294000	15777.258600	20895.549800	7535.879540	3944.300600	2536.050420	8690.775700	1	0xd43f5e018b415631	0
B	500	5	147931.520000	2078.798450	1.405243758	147311.500000	149988.000000	152828.850000	157548.000000	161468.000000	731642.220000	0.076000	2.890000	2308.571020	19608.446400	70301.386600	15814.434600	17156.898400	7555.941640	3897.095280	2538.485120	8660.123320	1	0xd43f5e018b415631	0
