index	image_id	width	height	decode_letterbox_us	executor_us	decode_output_us	detections	output_hash
0	139	640	426	30778.2	154869	73.835	299	0x95c5770d8878f858
1	285	586	640	38383.4	155266	33.001	11	0xd979bcddbcf1aa7
2	632	640	483	27313.3	154214	73.419	300	0xe945449ed6f22e88
3	724	375	500	25091	156766	43.876	74	0xbf25d44c8d059e83
4	776	428	640	26118.4	154972	46.544	69	0x2705458d328a3ece
5	785	640	425	23812.9	156302	43.584	61	0x4b564353bafcd65e
6	802	424	640	21039.9	157099	36.168	21	0x9bd932c97717c29b
7	872	621	640	38553.4	158017	45.043	84	0x3eb9836db8767126
8	885	640	427	23515.1	152287	62.377	231	0x82cba532f8dea5fb
9	1000	640	480	32616.1	156105	116.337	286	0xd9eaa865ccf323a
10	1268	640	427	25571.2	153040	73.628	300	0xe8ae2026fd85cb64
11	1296	427	640	24764.8	155389	53.21	142	0xefaaa24be1f8f511
12	1353	375	500	21104.1	149281	53.502	150	0x27472789c57664b0
13	1425	640	512	22867	148605	51.835	107	0xd9aac1b013a28b8f
14	1490	640	315	15873	148120	41.793	61	0x7724d40570725a75
15	1503	320	240	11270.2	148855	47.709	87	0x8c18b098a59b35e8
16	1532	640	480	27758.4	148536	72.752	295	0xa8dc13fe2effd902
17	1584	612	612	35747.1	147963	71.086	288	0x180b6f28feb830e
18	1675	640	480	24248.3	147202	45.418	92	0x8c451c65fb4ce92d
19	1761	427	640	22693	147831	47.668	102	0x23ed271cbf0c148f
20	1818	640	425	24338.8	148261	40.377	48	0xf2a9b1a2d01d8571
21	1993	640	419	22693.8	153692	49.46	118	0x4df8bfb3f4d64921
22	2006	640	480	27961.2	147799	64.252	241	0x8dd69485296d3a26
23	2149	640	427	20828.7	148394	53.96	137	0x4d0777df89df377e
24	2153	640	480	26912.1	149336	41.918	65	0x1a479a63c040fe6a
25	2157	640	427	23688.6	149102	72.961	292	0xaacc5cadd8cb2744
26	2261	640	427	26132.7	148316	38.418	29	0xcca883adb8afad64
27	2299	500	302	16680.1	148501	71.543	296	0x39e1f4b0ba8e0415
28	2431	457	640	25325.6	148932	62.377	223	0xe1a16cd6e4aebac3
29	2473	640	427	22445.8	147482	54.043	142	0x8a519d7da1ab3024
