arm	samples	blocks	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	max_us	process_cpu_mean_us	voluntary_cs_mean	involuntary_cs_mean	input_mean_us	core_mean_us	dense_mean_us	depthwise_mean_us	attention_mean_us	lut_mean_us	concat_mean_us	transform_mean_us	head_mean_us	output_hash_count	output_hash	cpu4_7_ime_count
A	500	5	151730.594000	2377.944100	1.567214651	151191.000000	153357.200000	156737.050000	163772.450000	165694.000000	749176.342000	0.090000	2.494000	2267.295120	19653.059400	70238.117000	15821.976200	20912.240200	7573.008740	3944.968600	2546.973080	8675.835740	1	0xd43f5e018b415631	0
B	500	5	164576.096000	2351.355914	1.428734775	163867.000000	166995.400000	168601.250000	175163.430000	181700.000000	812311.668000	0.076000	2.908000	2252.830320	19625.853200	83281.996400	15802.568600	20824.611200	7556.204820	3939.928460	2533.485000	8665.500140	1	0xd43f5e018b415631	0
