cycle	utc_before	boot_id_before	utc_after	boot_id_after	uname	cmdline_sha256	status
1	2026-07-15T16:10:08Z	90be7592-f6d9-4d69-ae40-a6c9d25a51ab	2026-07-15T16:10:52Z	4e29d5ea-91f1-49b1-978c-ff2c756dfc04	6.6.63	f6b7708b32372035a79e7372e590c8f134d0d32afc88f8e3732f2606e2748b9b	pass
2	2026-07-15T16:12:22Z	4e29d5ea-91f1-49b1-978c-ff2c756dfc04	2026-07-15T16:12:55Z	f581f71c-f8f7-4af9-a48b-e6b920164a78	6.6.63	f6b7708b32372035a79e7372e590c8f134d0d32afc88f8e3732f2606e2748b9b	pass
3	2026-07-15T16:14:50Z	f581f71c-f8f7-4af9-a48b-e6b920164a78	2026-07-15T16:15:25Z	0a0691d1-7502-44c3-903b-444dba83c1d9	6.6.63	f6b7708b32372035a79e7372e590c8f134d0d32afc88f8e3732f2606e2748b9b	pass
