arm	samples	blocks	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	max_us	process_cpu_mean_us	voluntary_cs_mean	involuntary_cs_mean	input_mean_us	core_mean_us	dense_mean_us	depthwise_mean_us	attention_mean_us	lut_mean_us	concat_mean_us	transform_mean_us	head_mean_us	output_hash_count	output_hash	cpu4_7_ime_count
A	500	5	151684.508000	2190.805010	1.444316917	151234.500000	153267.600000	156365.700000	162277.790000	164945.000000	748658.636000	0.074000	2.654000	2278.075180	19681.707800	70191.135800	15810.217400	20875.327400	7568.470540	3951.057240	2548.336120	8681.563560	1	0xd43f5e018b415631	0
B	500	5	152602.264000	877.391004	0.574952810	152403.500000	153300.100000	154824.600000	155807.510000	156956.000000	756492.300000	0.068000	1.696000	2230.007480	19581.108600	70024.307600	15769.043800	20689.237400	9011.474400	3934.878380	2536.597140	8731.833560	1	0xd43f5e018b415631	0
