operation_index	resident_operation_index	kind	scope	name	samples	mean_us	median_us	p95_us	implementation	confidence
119	-1	conv_dense	full_executor	/model.16/m.0/m/m.1/cv2/conv/Conv	50	626.18224	619.1665	661.3102	stage56-selected-explicit-or-measured	50 complete profiled observations
12	-1	conv_dense	full_executor	/model.2/cv2/conv/Conv	50	4878.71448	4823.978	5003.66685	stage56-selected-explicit-or-measured	50 complete profiled observations
120	-1	lut2	full_executor	/model.16/m.0/m/m.1/Add_output_0@/model.16/m.0/Concat_output_0_QuantizeLinear_Output	50	135.9948	135.7135	138.91559999999998	stage56-selected-explicit-or-measured	50 complete profiled observations
121	-1	concat	full_executor	/model.16/m.0/Concat	50	101.30848	100.295	106.67245	stage56-selected-explicit-or-measured	50 complete profiled observations
122	-1	conv_dense	full_executor	/model.16/m.0/cv3/conv/Conv	50	450.68544	444.327	490.5757	stage56-selected-explicit-or-measured	50 complete profiled observations
123	-1	concat	full_executor	/model.16/Concat	50	377.1721	374.159	415.4387	stage56-selected-explicit-or-measured	50 complete profiled observations
124	-1	conv_dense	full_executor	/model.16/cv2/conv/Conv	50	1534.32246	1500.676	1749.66785	stage56-selected-explicit-or-measured	50 complete profiled observations
125	-1	lut1	full_executor	/model.16/cv2/act/Mul_output_0_QuantizeLinear	50	166.48998	160.005	202.94695000000002	stage56-selected-explicit-or-measured	50 complete profiled observations
126	-1	conv_dense	full_executor	/model.17/conv/Conv	50	1067.32486	1039.827	1117.1694999999997	stage56-selected-explicit-or-measured	50 complete profiled observations
127	-1	conv_dense	full_executor	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	50	2235.83814	2178.2619999999997	2231.7282	stage56-selected-explicit-or-measured	50 complete profiled observations
128	-1	conv_grouped	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	50	1503.36892	1458.4255	1630.2284499999996	stage56-selected-explicit-or-measured	50 complete profiled observations
129	-1	lut1	full_executor	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0_QuantizeLinear	50	67.91488	67.3985	74.97715	stage56-selected-explicit-or-measured	50 complete profiled observations
13	-1	lut1	fused_into_dense_conv	/model.2/cv2/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage56-selected-explicit-or-measured	50 complete profiled observations
130	-1	lut1	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0_QuantizeLinear	50	196.10666	188.09	240.72729999999999	stage56-selected-explicit-or-measured	50 complete profiled observations
131	-1	concat	full_executor	/model.18/Concat	50	135.63374	128.421	172.36835	stage56-selected-explicit-or-measured	50 complete profiled observations
132	-1	conv_dense	full_executor	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	50	664.84182	648.6475	695.7301	stage56-selected-explicit-or-measured	50 complete profiled observations
133	-1	conv_dense	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	50	1330.7863200000002	1309.1485	1354.79845	stage56-selected-explicit-or-measured	50 complete profiled observations
134	-1	conv_dense	full_executor	/model.19/cv1/conv/Conv	50	1013.86878	1001.826	1054.7400499999999	stage56-selected-explicit-or-measured	50 complete profiled observations
135	-1	lut1	full_executor	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0_QuantizeLinear	50	57.538720000000005	56.585	61.296049999999994	stage56-selected-explicit-or-measured	50 complete profiled observations
136	-1	lut1	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0_QuantizeLinear	50	324.26858	307.302	435.07285	stage56-selected-explicit-or-measured	50 complete profiled observations
137	-1	split	full_executor	/model.19/Split	50	48.74084	47.897999999999996	50.1501	stage56-selected-explicit-or-measured	50 complete profiled observations
138	-1	conv_dense	full_executor	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	50	237.99146000000002	235.7575	261.7734	stage56-selected-explicit-or-measured	50 complete profiled observations
139	-1	conv_grouped	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv	50	1843.52558	1832.396	1869.30485	stage56-selected-explicit-or-measured	50 complete profiled observations
14	-1	conv_dense	full_executor	/model.3/conv/Conv	50	4100.33696	4060.2435	4097.1464	stage56-selected-explicit-or-measured	50 complete profiled observations
140	-1	conv_dense	full_executor	/model.19/m.0/cv1/conv/Conv	50	210.14642	220.3415	236.0151	stage56-selected-explicit-or-measured	50 complete profiled observations
141	-1	conv_dense	full_executor	/model.19/m.0/cv2/conv/Conv	50	141.54066	139.5675	144.06735	stage56-selected-explicit-or-measured	50 complete profiled observations
142	-1	lut1	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0_QuantizeLinear	50	383.66732	385.847	479.82135	stage56-selected-explicit-or-measured	50 complete profiled observations
143	-1	lut1	full_executor	/model.19/m.0/cv1/act/Mul_output_0_QuantizeLinear	50	32.791219999999996	31.125999999999998	43.89324999999995	stage56-selected-explicit-or-measured	50 complete profiled observations
144	-1	conv_dense	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	50	1525.9756599999998	1503.0095000000001	1560.6389	stage56-selected-explicit-or-measured	50 complete profiled observations
145	-1	conv_dense	full_executor	/model.19/m.0/m/m.0/cv1/conv/Conv	50	407.9049	399.9305	441.91705	stage56-selected-explicit-or-measured	50 complete profiled observations
146	-1	lut1	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0_QuantizeLinear	50	319.20094	307.34400000000005	402.7162	stage56-selected-explicit-or-measured	50 complete profiled observations
147	-1	lut1	full_executor	/model.19/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear	50	31.55774	30.897	35.2907	stage56-selected-explicit-or-measured	50 complete profiled observations
148	-1	conv_dense	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	50	2595.5912599999997	2563.171	2639.53155	stage56-selected-explicit-or-measured	50 complete profiled observations
149	-1	conv_dense	full_executor	/model.19/m.0/m/m.0/cv2/conv/Conv	50	402.11712	395.555	428.43565	stage56-selected-explicit-or-measured	50 complete profiled observations
15	-1	lut1	fused_into_dense_conv	/model.3/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage56-selected-explicit-or-measured	50 complete profiled observations
150	-1	lut2	full_executor	/model.19/m.0/m/m.0/Add_output_0_QuantizeLinear	50	64.26562	62.461	65.07685	stage56-selected-explicit-or-measured	50 complete profiled observations
151	-1	conv_dense	full_executor	/model.19/m.0/m/m.1/cv1/conv/Conv	50	386.16906	375.846	418.414	stage56-selected-explicit-or-measured	50 complete profiled observations
152	-1	lut1	fused_into_dense_conv	/model.19/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage56-selected-explicit-or-measured	50 complete profiled observations
153	-1	conv_dense	full_executor	/model.19/m.0/m/m.1/cv2/conv/Conv	50	365.01074	359.908	378.5963999999999	stage56-selected-explicit-or-measured	50 complete profiled observations
154	-1	lut2	full_executor	/model.19/m.0/m/m.1/Add_output_0@/model.19/m.0/Concat_output_0_QuantizeLinear_Output	50	81.19366	80.544	83.87815	stage56-selected-explicit-or-measured	50 complete profiled observations
155	-1	concat	full_executor	/model.19/m.0/Concat	50	56.94196	56.710499999999996	60.2834	stage56-selected-explicit-or-measured	50 complete profiled observations
156	-1	conv_dense	full_executor	/model.19/m.0/cv3/conv/Conv	50	325.35196	321.4485	368.87885	stage56-selected-explicit-or-measured	50 complete profiled observations
157	-1	concat	full_executor	/model.19/Concat	50	173.4201	167.464	210.97575	stage56-selected-explicit-or-measured	50 complete profiled observations
158	-1	conv_dense	full_executor	/model.19/cv2/conv/Conv	50	1008.5754000000001	996.826	1040.5337	stage56-selected-explicit-or-measured	50 complete profiled observations
159	-1	lut1	fused_into_dense_conv	/model.19/cv2/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage56-selected-explicit-or-measured	50 complete profiled observations
16	-1	conv_dense	full_executor	/model.4/cv1/conv/Conv	50	1042.2639199999999	1032.8474999999999	1083.24935	stage56-selected-explicit-or-measured	50 complete profiled observations
160	-1	conv_dense	full_executor	/model.20/conv/Conv	50	792.17384	781.547	849.68075	stage56-selected-explicit-or-measured	50 complete profiled observations
161	-1	conv_dense	full_executor	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	50	1192.4583	1170.519	1214.42265	stage56-selected-explicit-or-measured	50 complete profiled observations
162	-1	conv_grouped	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	50	751.6023799999999	736.629	792.4706	stage56-selected-explicit-or-measured	50 complete profiled observations
163	-1	lut1	full_executor	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul_output_0_QuantizeLinear	50	21.684140000000003	20.500500000000002	22.9116	stage56-selected-explicit-or-measured	50 complete profiled observations
164	-1	lut1	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul_output_0_QuantizeLinear	50	63.23546	62.877	64.1354	stage56-selected-explicit-or-measured	50 complete profiled observations
165	-1	concat	full_executor	/model.21/Concat	50	104.16528	101.0865	143.52794999999998	stage56-selected-explicit-or-measured	50 complete profiled observations
166	-1	conv_dense	full_executor	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv	50	179.79868	174.7355	189.46744999999999	stage56-selected-explicit-or-measured	50 complete profiled observations
167	-1	conv_dense	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	50	497.11034	482.4955	535.6952	stage56-selected-explicit-or-measured	50 complete profiled observations
168	-1	conv_dense	full_executor	/model.22/cv1/conv/Conv	50	711.98682	701.1279999999999	745.7321	stage56-selected-explicit-or-measured	50 complete profiled observations
169	-1	lut1	full_executor	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0_QuantizeLinear	50	19.6557	19.271500000000003	22.344749999999998	stage56-selected-explicit-or-measured	50 complete profiled observations
17	-1	split	full_executor	/model.4/Split	50	95.39242	94.441	97.76785	stage56-selected-explicit-or-measured	50 complete profiled observations
170	-1	lut1	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul_output_0_QuantizeLinear	50	45.604099999999995	42.501	59.95184999999999	stage56-selected-explicit-or-measured	50 complete profiled observations
171	-1	split	full_executor	/model.22/Split	50	26.92592	26.5845	28.969749999999998	stage56-selected-explicit-or-measured	50 complete profiled observations
172	-1	conv_dense	full_executor	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv	50	69.71316	69.4395	79.80254999999997	stage56-selected-explicit-or-measured	50 complete profiled observations
173	-1	conv_grouped	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	50	462.50252	451.12	507.55449999999996	stage56-selected-explicit-or-measured	50 complete profiled observations
174	-1	conv_dense	full_executor	/model.22/m.0/m.0.0/cv1/conv/Conv	50	572.65962	567.9155	599.8021	stage56-selected-explicit-or-measured	50 complete profiled observations
175	-1	lut1	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0_QuantizeLinear	50	47.00408	45.606	54.51434999999999	stage56-selected-explicit-or-measured	50 complete profiled observations
176	-1	lut1	full_executor	/model.22/m.0/m.0.0/cv1/act/Mul_output_0_QuantizeLinear	50	13.896399999999998	13.605	14.43005	stage56-selected-explicit-or-measured	50 complete profiled observations
177	-1	conv_dense	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv	50	337.30237999999997	326.78200000000004	376.0922	stage56-selected-explicit-or-measured	50 complete profiled observations
178	-1	conv_dense	full_executor	/model.22/m.0/m.0.0/cv2/conv/Conv	50	495.91198	488.829	535.9644999999999	stage56-selected-explicit-or-measured	50 complete profiled observations
