metric	samples	mean	p95	p999	max	correlation_with_wall	lost_event_lines	malformed_marker_count	complete_intervals	benchmark_samples
trace_duration_us	10000	152656.249500005	156786.199999533	175565.999999890	178775.999998834	0.999981429	0	0	10000	10000
irq_count	10000	318.291400000	645.000000000	2498.007000000	2638.000000000	0.981619919	0	0	10000	10000
irq_duration_us	10000	7159.306699819	10602.999961066	26925.107983818	28473.000034865	0.989032073	0	0	10000	10000
softirq_count	10000	21.909200000	68.000000000	144.002000000	157.000000000	0.096590388	0	0	10000	10000
softirq_duration_us	10000	220.950600052	537.049989271	1054.004991198	1497.999997810	0.116691885	0	0	10000	10000
workqueue_count	10000	1.179100000	3.000000000	6.001000000	36.000000000	0.038021712	0	0	10000	10000
workqueue_duration_us	10000	28.933400003	68.000001193	292.010000625	18657.000000530	0.022029772	0	0	10000	10000
sched_switch_count	10000	7.761000000	12.000000000	30.001000000	86.000000000	0.033373772	0	0	10000	10000
block_issue_count	10000	0.006000000	0.000000000	0.000000000	29.000000000	0.016378117	0	0	10000	10000
block_complete_count	10000	0.022200000	0.000000000	3.000000000	35.000000000	0.022798006	0	0	10000	10000
frequency_event_count	10000	0.000000000	0.000000000	0.000000000	0.000000000	nan	0	0	10000	10000
involuntary_cs	10000	1.108500000	3.000000000	12.000000000	40.000000000	0.044676823	0	0	10000	10000
