surface	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	max_us	process_cpu_mean_us	voluntary_cs_mean	involuntary_cs_mean	output_hash	cpu4_7_ime_count
M0	500	150726.054000	2087.712901	1.385104	150141.000000	152730.700000	154980.950000	159861.830000	164712.569000	164747.000000	745980.334000	0.074000	3.314000	0xd43f5e018b415631	0
M1	500	152909.784000	2181.240636	1.426489	152283.500000	154978.500000	157648.800000	162687.340000	166975.757000	167603.000000	757960.416000	0.048000	3.108000	0xd43f5e018b415631	0
M2	500	152725.786000	2095.305361	1.371939	152076.000000	154809.900000	157487.800000	162600.900000	166051.699000	166151.000000	757623.934000	0.104000	3.332000	0xd43f5e018b415631	0
M3	500	151800.910000	2347.155323	1.546206	151181.500000	153673.000000	156221.450000	162279.990000	170071.082000	174603.000000	750027.982000	0.050000	2.654000	0xd43f5e018b415631	0
