block	cycle	position	arm	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
0	0	0	A	0	32	150528	2177.79	19479.6	69775.3	15670.5	20772	7531.75	3884.78	2495.27	8647	738264	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	33	151157	2254.75	19582	69607.2	15711.1	21180.5	7678.76	3835.82	2540.68	8675.46	743673	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	34	163768	2290.05	19464.8	81912.4	15804.4	21565.1	7519.17	3914.36	2509.93	8681.67	794077	0	12	1	0	0xd43f5e018b415631
0	0	0	A	0	35	163092	2234.09	19565.4	79220.3	15788.2	20720	8368.04	5595.55	2796.4	8697.84	803368	0	57	1	0	0xd43f5e018b415631
0	0	0	A	0	36	151058	2284.63	19587.9	69843	15714.9	20717.7	7514.67	4023.62	2591.85	8682.17	748867	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	37	152291	3030.24	19532.8	69859.5	16032.2	20760.6	7783.59	3980.53	2540.14	8680.84	752816	0	4	1	0	0xd43f5e018b415631
0	0	0	A	0	38	149990	2328.59	19502.6	69721.2	15655.5	20139.2	7601.76	3932.11	2500.64	8516.87	748634	2	1	1	0	0xd43f5e018b415631
0	0	0	A	0	39	150972	2189.38	19550.3	69809.2	15780.4	20958.2	7542.54	3843.28	2539.26	8664.67	740729	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	40	151248	2249.21	19530.5	69896.8	15740.1	21123.2	7501.38	3933.49	2527.56	8657.42	744270	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	41	151444	2243.13	19475.8	69916.9	15703.6	21241.3	7600.63	3997.36	2507.89	8663.38	746115	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	42	151533	2280.05	19589.3	70118.9	15679.9	21344.3	7444.79	3785.23	2504.93	8696.46	747711	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	43	153443	2785.94	19549.9	72354.9	15596.6	20502.6	7390.45	3939.7	2508.43	8722.71	766422	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	44	151143	2168.92	19634	69935.8	15639.7	20977.4	7258.33	4179.08	2570.22	8688.84	741574	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	45	151604	2300.71	19592.8	69970.9	15682.3	21010.4	7601.5	4140.95	2542.97	8672.46	744581	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	46	151012	2248.88	19450.4	69726	15719.4	21306.7	7323.28	3957.32	2505.31	8681.13	744574	1	0	1	0	0xd43f5e018b415631
0	0	0	A	0	47	151012	2297.05	19493.2	70097.6	15709.4	20669.2	7421.95	3989.95	2537.47	8704.51	747474	2	2	1	0	0xd43f5e018b415631
0	0	0	A	0	48	150760	2931.07	19662.7	69566.3	15746.8	20015.7	7544.88	3901.86	2543.97	8753.84	750197	0	6	1	0	0xd43f5e018b415631
0	0	0	A	0	49	150338	2173.88	19535.6	69440.8	15723.6	20854.4	7439.21	3903.28	2498.26	8676	737941	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	50	152520	2250.96	19566.5	71094.6	15799.8	20785.3	7726.05	3999.78	2538.81	8666.63	760756	0	8	1	0	0xd43f5e018b415631
0	0	0	A	0	51	150930	2183.17	19448.1	70067.2	15727.1	21019.3	7459.21	3735.52	2535.22	8662.25	741200	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	52	151153	2241.84	19547.5	69791.6	15636.2	21314.7	7577.72	3780.57	2490.6	8681.63	745111	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	53	149802	2258.21	19544.2	69562.2	15710.9	20087.9	7453.83	3969.03	2497.81	8624.5	746067	1	1	1	0	0xd43f5e018b415631
0	0	0	A	0	54	151105	2174.71	19568.3	70066.6	15680	20570.9	7920.64	3868.48	2498.22	8665.84	755012	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	55	150859	2180.63	19575.7	69735.1	15683.6	21040.4	7489.67	3814.69	2538.27	8704.09	741502	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	56	154377	2384.88	22375	70099.8	15824.3	20703.2	7713.8	3957.82	2540.06	8684.09	764586	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	57	150709	2286.96	19669.9	69767.1	15697.1	20347.9	7533.92	4110.16	2497.18	8705.8	750417	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	58	150616	2173.54	19558.6	69819.8	15762.4	20777	7455.95	3844.32	2484.18	8649.25	738846	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	59	151318	2283.55	19571.6	69761.6	15711.8	21159.9	7490.04	4045.49	2534.72	8664.67	744141	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	60	151668	2252	19507.9	70233.3	15851.6	21145	7574.84	3832.94	2514.22	8664.13	746392	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	61	151565	2262.96	19516.1	69942.8	15860.1	21279.4	7418.58	4005.49	2502.55	8684	746571	0	2	1	0	0xd43f5e018b415631
