operator_class	shape_surface	workers	mean_us	instances	implementation	evidence
lut	model4_to_model8_AOT_slice	4	4640.545000	1	resident_int8_exact	measured_profile_once
add_silu	model4_to_model8_AOT_slice	4	1529.850000	4	resident_int8_exact	measured_profile_once
concat	model4_to_model8_AOT_slice	4	5741.276000	4	resident_int8_exact	measured_profile_once
NhwcMaxPool	full_graph_B120_profile	4	15694.750000	profile_aggregate	CPUExecutionProvider_fallback	measured_conservative_profile
Resize	full_graph_B120_profile	4	8513.750000	profile_aggregate	CPUExecutionProvider_fallback	measured_conservative_profile
Softmax	full_graph_B120_profile	4	1756.000000	profile_aggregate	CPUExecutionProvider_fallback	measured_conservative_profile
TopK	full_graph_B120_profile	4	1168.000000	profile_aggregate	CPUExecutionProvider_fallback	measured_conservative_profile
GatherElements	full_graph_B120_profile	4	510.250000	profile_aggregate	CPUExecutionProvider_fallback	measured_conservative_profile
